Date,Open,High,Low,Close,Volume
10/01/2020,"160.40","161.20","158.60","161.06","99,438,439"
09/30/2020,"157.06","160.64","156.70","157.44","97,922,019"
09/29/2020,"158.77","159.41","156.63","157.24","70,067,959"
09/28/2020,"157.44","158.75","155.86","158.70","84,483,299"
09/25/2020,"152.74","155.08","149.95","154.76","92,304,039"
09/24/2020,"148.89","153.47","148.25","150.99","110,587,838"
09/23/2020,"156.02","156.35","149.62","149.99","113,053,298"
09/22/2020,"151.69","156.70","150.01","156.45","138,976,318"
09/21/2020,"145.33","148.10","143.55","148.02","122,358,498"
09/18/2020,"151.59","151.89","145.28","147.75","177,851,598"
09/17/2020,"150.46","151.47","148.63","150.44","128,980,998"
09/16/2020,"159.00","159.36","153.71","153.91","90,623,779"
09/15/2020,"156.81","158.75","155.45","157.81","80,430,699"
09/14/2020,"158.65","159.37","154.80","155.15","90,591,919"
09/11/2020,"160.43","160.87","154.20","155.81","101,879,639"
09/10/2020,"165.36","167.49","158.53","158.76","106,614,819"
09/09/2020,"160.15","165.16","159.25","163.43","103,773,499"
09/08/2020,"157.20","162.54","156.50","157.49","121,884,098"
09/04/2020,"165.90","169.08","155.56","164.73","175,635,078"
09/03/2020,"174.25","174.42","165.15","168.40","163,222,258"
09/02/2020,"177.35","177.61","174.33","176.57","78,629,519"
09/01/2020,"174.48","175.69","173.35","174.96","69,528,139"
08/31/2020,"170.45","174.75","170.25","172.55","83,717,699"
08/28/2020,"171.15","171.67","169.33","170.09","57,939,559"
08/27/2020,"172.50","172.65","168.90","170.00","85,295,899"
08/26/2020,"167.56","172.59","167.23","172.09","130,174,858"
08/25/2020,"164.75","167.87","163.35","167.32","79,856,839"
08/24/2020,"165.51","169.02","162.88","165.37","93,325,159"
08/21/2020,"164.75","165.72","163.77","164.24","71,517,239"
08/20/2020,"162.60","165.63","161.90","164.87","66,649,559"
08/19/2020,"165.15","165.80","162.80","163.02","83,702,739"
08/18/2020,"160.60","166.00","160.29","165.62","106,919,479"
08/17/2020,"158.66","159.75","157.71","159.12","53,824,739"
08/14/2020,"158.91","158.91","156.00","157.40","55,034,459"
08/13/2020,"159.15","160.88","157.75","158.05","62,980,859"
08/12/2020,"155.40","158.72","155.07","158.11","70,544,579"
08/11/2020,"155.66","157.96","153.65","154.03","74,361,139"
08/10/2020,"158.52","158.63","155.08","157.41","63,345,479"
08/07/2020,"161.20","162.04","157.03","158.37","78,722,539"
08/06/2020,"159.72","162.37","158.27","161.25","78,812,039"
08/05/2020,"157.19","160.68","156.37","160.25","78,600,499"
08/04/2020,"155.06","158.36","155.06","156.94","93,885,879"
08/03/2020,"159.03","159.20","155.20","155.59","101,493,259"
07/31/2020,"162.20","162.34","157.55","158.23","161,667,378"
07/30/2020,"150.70","154.60","150.25","152.59","122,565,298"
07/29/2020,"151.55","151.96","149.84","151.68","59,481,199"
07/28/2020,"152.71","153.85","149.79","150.02","62,533,019"
07/27/2020,"153.10","154.90","150.79","152.76","83,409,839"
07/24/2020,"146.50","151.58","144.40","150.45","112,648,258"
07/23/2020,"154.91","154.91","148.50","149.33","113,138,118"
07/22/2020,"156.25","157.50","153.26","155.00","82,084,499"
07/21/2020,"161.62","162.03","155.29","156.91","122,699,298"
07/20/2020,"150.01","160.07","149.70","159.84","151,963,518"
07/17/2020,"150.45","151.20","147.42","148.10","95,226,379"
07/16/2020,"148.55","151.60","145.91","150.00","127,884,918"
07/15/2020,"154.01","154.92","148.66","150.44","115,777,478"
07/14/2020,"154.45","156.37","147.50","154.20","144,638,658"
