Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,100.33,101.48,99.37,101.33,4179279,AXP,1
9/30/20,98.23,101.52,98.23,100.25,5060944,AXP,2
9/29/20,98.74,99.35,97.23,97.75,3200685,AXP,3
9/28/20,99.0,99.73,98.63,98.82,3931088,AXP,4
9/25/20,94.68,96.85,94.46,96.26,2775850,AXP,5
9/24/20,95.34,96.9,93.71,95.45,4249018,AXP,6
9/23/20,95.76,97.1,95.09,95.56,9427242,AXP,7
9/22/20,98.01,99.78,96.41,98.48,4884443,AXP,8
9/21/20,100.6,100.63,96.22,98.17,8340195,AXP,9
9/18/20,104.46,106.12,103.31,103.44,6630252,AXP,10
9/17/20,104.27,105.35,103.32,104.66,3215625,AXP,11
9/16/20,106.73,107.49,104.69,105.98,5799110,AXP,12
9/15/20,107.84,108.12,106.24,106.68,3371640,AXP,13
9/14/20,104.65,107.69,104.22,107.27,3620420,AXP,14
9/11/20,102.91,103.85,102.01,103.36,2604824,AXP,15
9/10/20,104.19,105.11,102.31,102.77,3289041,AXP,16
9/9/20,104.57,104.71,102.69,103.78,2474721,AXP,17
9/8/20,104.42,105.08,103.3,103.67,4517032,AXP,18
9/4/20,106.35,108.28,104.48,105.67,5235348,AXP,19
9/3/20,104.97,109.03,103.85,104.46,6747861,AXP,20
9/2/20,102.58,104.87,102.29,104.4,3536855,AXP,21
9/1/20,100.54,102.78,100.16,102.47,3143403,AXP,22
8/31/20,102.9,102.9,101.36,101.59,4665753,AXP,23
8/28/20,102.15,102.9,100.74,102.54,4382870,AXP,24
8/27/20,98.76,102.14,98.53,101.53,3992187,AXP,25
8/26/20,98.56,99.14,97.81,98.4,2936486,AXP,26
8/25/20,100.62,100.79,98.03,99.05,2946625,AXP,27
8/24/20,96.68,99.37,96.39,99.33,4141096,AXP,28
8/21/20,96.49,97.65,95.96,96.15,2845431,AXP,29
8/20/20,95.74,97.58,95.68,96.72,3102494,AXP,30
8/19/20,96.82,97.91,95.89,96.89,3079639,AXP,31
8/18/20,98.19,98.83,96.47,96.67,3337580,AXP,32
8/17/20,99.92,100.0,97.44,97.55,7488517,AXP,33
8/14/20,99.66,101.29,99.27,100.41,1956491,AXP,34
8/13/20,100.53,101.83,99.5,100.42,3265769,AXP,35
8/12/20,104.76,104.8,100.68,101.68,3408210,AXP,36
8/11/20,103.99,105.7,102.96,103.26,4744256,AXP,37
8/10/20,99.49,102.65,99.26,101.62,5254766,AXP,38
8/7/20,95.29,99.3,94.95,99.16,4690730,AXP,39
8/6/20,95.18,96.27,94.48,95.92,2698777,AXP,40
8/5/20,93.82,95.58,93.81,95.39,2852335,AXP,41
8/4/20,93.49,93.8,92.49,93.19,2415124,AXP,42
8/3/20,93.31,94.4,92.44,93.54,2869843,AXP,43
7/31/20,94.31,94.45,92.23,93.32,4088793,AXP,44
7/30/20,94.68,94.78,92.5,94.65,3856299,AXP,45
7/29/20,94.71,96.75,94.44,96.69,2791954,AXP,46
7/28/20,95.76,96.29,94.18,94.42,3567652,AXP,47
7/27/20,94.64,95.98,93.64,95.79,3501828,AXP,48
7/24/20,95.3,97.15,93.3,95.33,4790446,AXP,49
7/23/20,95.51,97.78,95.51,96.67,4239812,AXP,50
7/22/20,95.81,97.41,95.38,96.54,4360503,AXP,51
7/21/20,95.25,97.46,94.73,96.33,4227530,AXP,52
7/20/20,94.8,95.36,93.58,94.0,3560385,AXP,53
7/17/20,96.35,96.53,95.01,95.18,2873784,AXP,54
7/16/20,96.5,97.79,95.67,96.32,2666018,AXP,55
7/15/20,96.66,97.78,96.39,97.36,5405620,AXP,56
7/14/20,93.19,95.22,92.29,94.84,4044377,AXP,57
7/13/20,94.24,95.76,92.78,93.56,4819699,AXP,58
7/10/20,90.32,93.31,89.82,93.23,4400854,AXP,59
