Date,Open,High,Low,Close,Volume
10/01/2020,"24.27","24.41","23.86","24.10","44,782,152"
09/30/2020,"23.78","24.32","23.77","24.09","56,226,102"
09/29/2020,"23.98","23.99","23.53","23.77","45,716,129"
09/28/2020,"23.88","24.31","23.79","24.09","47,996,898"
09/25/2020,"23.28","23.55","23.13","23.49","42,111,340"
09/24/2020,"23.38","23.82","22.95","23.34","53,570,648"
09/23/2020,"24.10","24.26","23.26","23.26","59,950,328"
09/22/2020,"24.27","24.60","23.81","23.94","68,665,352"
09/21/2020,"24.57","24.78","24.03","24.47","75,218,578"
09/18/2020,"25.15","25.58","25.10","25.21","94,055,805"
09/17/2020,"25.13","25.48","25.10","25.35","48,862,039"
09/16/2020,"25.28","25.91","25.05","25.60","64,623,406"
09/15/2020,"25.77","25.83","25.19","25.28","63,820,152"
09/14/2020,"25.67","25.99","25.54","25.75","47,802,391"
09/11/2020,"25.22","25.58","25.09","25.50","47,708,340"
09/10/2020,"25.70","25.89","25.08","25.14","56,609,621"
09/09/2020,"25.64","25.72","25.23","25.51","53,822,648"
09/08/2020,"26.14","26.32","25.39","25.48","74,978,641"
09/04/2020,"26.26","26.76","25.80","26.54","99,621,406"
09/03/2020,"26.20","26.62","25.46","25.66","86,192,492"
09/02/2020,"25.53","26.16","25.49","26.02","57,300,859"
09/01/2020,"25.58","25.90","25.40","25.71","46,152,102"
08/31/2020,"26.09","26.14","25.69","25.74","49,416,219"
08/28/2020,"26.40","26.47","25.99","26.30","46,466,391"
08/27/2020,"25.49","26.22","25.44","26.05","52,934,793"
08/26/2020,"25.94","25.94","25.54","25.56","39,477,980"
08/25/2020,"26.04","26.19","25.73","26.00","57,304,727"
08/24/2020,"25.22","25.70","25.04","25.69","54,579,461"
08/21/2020,"24.98","25.43","24.90","24.98","55,010,688"
08/20/2020,"25.16","25.33","25.02","25.10","49,403,688"
08/19/2020,"25.66","26.08","25.39","25.50","59,855,953"
08/18/2020,"25.87","25.99","25.46","25.53","45,850,129"
08/17/2020,"26.31","26.41","25.84","25.90","57,518,711"
08/14/2020,"26.06","26.66","25.92","26.47","50,931,871"
08/13/2020,"26.49","26.67","26.14","26.35","55,955,480"
08/12/2020,"27.48","27.57","26.41","26.73","62,023,961"
08/11/2020,"27.28","27.75","26.78","26.92","81,440,969"
08/10/2020,"26.31","26.81","26.21","26.56","64,051,121"
08/07/2020,"25.34","26.19","25.26","26.11","63,354,500"
08/06/2020,"25.45","25.67","25.28","25.47","51,999,727"
08/05/2020,"25.32","25.59","25.25","25.39","51,695,566"
08/04/2020,"24.96","25.06","24.86","25.01","37,985,273"
08/03/2020,"25.03","25.31","24.69","24.99","58,284,031"
07/31/2020,"24.93","24.95","24.46","24.88","62,039,246"
07/30/2020,"24.72","24.95","24.35","24.84","61,755,887"
07/29/2020,"24.36","25.29","24.19","25.27","71,393,508"
07/28/2020,"24.13","24.56","24.08","24.36","48,406,512"
07/27/2020,"24.22","24.27","23.88","24.14","54,721,352"
07/24/2020,"24.56","24.83","24.27","24.35","50,217,641"
07/23/2020,"24.52","24.64","24.11","24.54","61,047,621"
07/22/2020,"24.24","24.33","23.97","24.31","52,193,711"
07/21/2020,"23.71","24.48","23.69","24.42","75,546,078"
07/20/2020,"23.19","23.70","23.11","23.58","61,113,961"
07/17/2020,"23.88","23.98","23.20","23.22","66,920,234"
07/16/2020,"23.75","24.22","23.54","23.93","78,067,078"
07/15/2020,"24.76","24.87","24.28","24.60","57,384,441"
07/14/2020,"23.89","24.15","23.45","24.14","67,423,070"
07/13/2020,"24.37","24.51","23.86","24.19","73,598,109"
07/10/2020,"22.71","24.05","22.68","24.02","81,142,930"
07/09/2020,"22.94","23.16","22.39","22.77","79,385,859"
07/08/2020,"23.03","23.19","22.70","23.10","52,922,609"
07/07/2020,"23.38","23.39","22.90","23.01","60,645,832"
07/06/2020,"23.82","24.08","23.46","23.66","59,589,039"
07/02/2020,"23.84","23.99","23.22","23.29","56,000,152"
07/01/2020,"24.03","24.07","23.23","23.26","57,379,922"
06/30/2020,"23.20","23.91","23.10","23.75","61,716,160"
06/29/2020,"23.41","23.84","23.10","23.39","66,269,234"
06/26/2020,"24.09","24.11","23.02","23.15","118,139,203"
06/25/2020,"23.70","24.77","23.55","24.72","65,031,930"
06/24/2020,"24.54","24.54","23.68","23.81","75,437,102"
06/23/2020,"25.01","25.41","24.76","24.79","46,108,281"
06/22/2020,"24.89","25.03","24.61","24.62","55,484,312"
06/19/2020,"25.44","25.49","24.49","25.25","127,563,602"
06/18/2020,"24.70","25.49","24.58","25.04","53,419,008"
06/17/2020,"25.90","25.90","24.92","25.00","58,349,480"
06/16/2020,"26.18","26.24","24.86","25.80","96,796,555"
06/15/2020,"23.76","25.17","23.69","25.15","76,538,953"
06/12/2020,"25.03","25.05","24.04","24.78","73,729,711"
06/11/2020,"24.98","25.69","23.68","23.93","149,875,500"
06/10/2020,"27.97","28.10","26.51","26.60","90,415,312"
06/09/2020,"27.72","28.54","27.55","28.22","77,773,375"
06/08/2020,"28.59","28.90","28.14","28.54","79,598,445"
06/05/2020,"28.95","29.01","27.88","28.11","118,767,906"
06/04/2020,"25.71","26.83","25.57","26.78","94,545,289"
06/03/2020,"25.50","26.14","25.39","25.99","86,744,562"
06/02/2020,"24.96","25.39","24.56","24.84","71,118,141"
06/01/2020,"24.28","24.87","24.05","24.61","58,470,230"
05/29/2020,"24.42","24.91","24.06","24.12","113,923,797"
05/28/2020,"26.08","26.14","24.79","24.86","84,436,766"
05/27/2020,"26.07","26.17","24.97","25.98","117,672,703"
05/26/2020,"23.75","24.60","23.67","24.28","119,485,508"
05/22/2020,"22.93","22.95","22.46","22.66","48,107,031"
05/21/2020,"22.81","23.27","22.78","22.90","57,725,992"
05/20/2020,"22.68","23.00","22.64","22.91","59,789,480"
05/19/2020,"22.66","23.00","22.19","22.21","62,178,969"
05/18/2020,"22.42","23.06","22.07","22.93","86,699,203"
05/15/2020,"21.40","21.70","21.23","21.44","64,483,961"
05/14/2020,"20.29","21.79","20.10","21.71","88,359,133"
05/13/2020,"21.66","21.75","20.72","20.87","112,113,398"
05/12/2020,"22.71","22.82","21.85","21.87","69,588,711"
05/11/2020,"23.11","23.12","22.56","22.58","68,951,797"
05/08/2020,"23.47","23.62","23.25","23.57","45,250,008"
05/07/2020,"22.66","23.37","22.61","22.84","51,884,262"
05/06/2020,"23.00","23.08","22.23","22.35","53,874,594"
05/05/2020,"23.48","23.52","22.62","22.66","45,691,922"
05/04/2020,"22.70","22.99","22.43","22.93","45,886,129"
05/01/2020,"23.38","23.46","22.81","23.08","51,772,621"
04/30/2020,"24.21","24.38","23.85","24.05","55,244,090"
04/29/2020,"24.91","25.11","24.51","24.78","73,493,914"
04/28/2020,"24.45","24.81","23.85","23.89","65,504,910"
04/27/2020,"22.52","23.65","22.45","23.47","66,916,688"
04/24/2020,"22.11","22.30","21.67","22.18","47,675,738"
04/23/2020,"21.96","22.39","21.85","21.87","50,614,820"
04/22/2020,"22.16","22.23","21.75","21.80","49,759,121"
04/21/2020,"21.90","22.37","21.50","21.64","78,871,344"
04/20/2020,"22.57","23.13","22.18","22.50","74,446,281"
04/17/2020,"22.34","23.40","22.31","23.28","92,800,273"
04/16/2020,"22.15","22.21","21.09","21.42","89,213,328"
04/15/2020,"22.16","22.65","21.91","22.19","99,082,227"
04/14/2020,"24.50","24.65","23.10","23.73","88,991,070"
04/13/2020,"24.78","24.85","23.78","23.92","83,164,719"
04/09/2020,"24.07","25.32","24.05","24.86","125,414,797"
04/08/2020,"22.41","23.60","22.41","23.45","81,212,305"
04/07/2020,"22.80","22.88","21.85","22.14","94,560,312"
04/06/2020,"21.03","21.60","20.81","21.39","97,390,300"
04/03/2020,"20.40","20.74","19.68","20.03","68,293,508"
04/02/2020,"19.65","20.79","19.59","20.57","70,007,359"
04/01/2020,"19.93","20.35","19.51","19.77","83,961,297"
03/31/2020,"21.82","22.49","20.96","21.23","95,213,695"
03/30/2020,"21.65","22.35","21.27","22.04","80,449,109"
03/27/2020,"21.68","22.20","21.10","21.60","91,522,852"
03/26/2020,"21.31","22.95","21.17","22.72","116,271,102"
03/25/2020,"21.71","22.10","20.41","21.10","146,991,297"
03/24/2020,"19.42","21.15","19.01","21.03","147,882,406"
03/23/2020,"19.26","19.67","17.95","18.08","181,898,500"
03/20/2020,"21.76","21.84","19.56","19.67","150,910,406"
03/19/2020,"20.26","21.75","19.00","21.20","122,461,297"
03/18/2020,"20.27","20.97","19.70","20.79","148,272,500"
03/17/2020,"21.06","22.69","20.03","21.98","120,065,695"
03/16/2020,"19.85","21.73","19.58","20.44","121,688,797"
03/13/2020,"22.19","24.25","21.48","24.16","128,357,398"
03/12/2020,"20.59","22.87","20.15","20.51","139,552,609"
03/11/2020,"22.84","23.96","22.26","22.67","127,543,797"
03/10/2020,"23.25","23.68","21.59","23.61","134,863,594"
03/09/2020,"22.23","23.49","21.51","21.93","145,196,000"
03/06/2020,"25.47","26.21","25.10","25.71","119,121,203"
03/05/2020,"27.24","27.35","26.40","26.78","110,878,703"
03/04/2020,"28.25","28.42","27.40","28.39","111,239,797"
03/03/2020,"29.37","29.75","27.62","27.75","138,698,500"
03/02/2020,"28.35","29.38","27.44","29.37","147,776,297"
02/28/2020,"28.00","28.75","27.70","28.50","171,263,594"
02/27/2020,"29.55","30.30","28.91","29.13","121,148,305"
02/26/2020,"31.39","31.60","30.56","30.63","80,065,688"
02/25/2020,"32.69","32.76","30.84","31.08","91,586,812"
02/24/2020,"33.18","33.21","32.52","32.73","79,159,586"
02/21/2020,"34.53","34.64","34.14","34.36","46,675,461"
02/20/2020,"34.46","35.08","34.46","34.85","42,604,078"
02/19/2020,"34.45","34.85","34.41","34.72","29,632,109"
02/18/2020,"34.77","34.83","34.01","34.27","40,327,238"
02/14/2020,"34.88","34.96","34.70","34.85","26,447,711"
02/13/2020,"34.76","35.03","34.55","34.91","31,775,119"
02/12/2020,"35.08","35.45","34.79","34.92","36,656,688"
02/11/2020,"34.85","35.04","34.76","34.77","32,476,330"
02/10/2020,"34.44","34.69","34.38","34.69","24,373,789"
02/07/2020,"34.32","34.66","34.25","34.61","31,263,029"
02/06/2020,"34.94","35.01","34.60","34.67","39,511,500"
02/05/2020,"34.10","34.81","34.07","34.71","54,604,762"
02/04/2020,"33.56","33.90","33.53","33.62","45,061,578"
02/03/2020,"33.00","33.40","32.92","32.97","48,508,199"
01/31/2020,"33.07","33.17","32.65","32.83","54,845,281"
01/30/2020,"32.70","33.52","32.67","33.48","50,542,762"
01/29/2020,"33.33","33.44","32.98","33.01","37,428,281"
01/28/2020,"33.02","33.49","32.95","33.24","38,834,594"
01/27/2020,"32.57","33.13","32.47","32.85","57,096,168"
01/24/2020,"34.12","34.14","33.27","33.54","47,797,207"
01/23/2020,"34.09","34.26","33.73","34.12","45,717,152"
01/22/2020,"34.37","34.45","34.23","34.36","38,879,688"
01/21/2020,"34.42","34.52","34.22","34.26","50,811,008"
01/17/2020,"34.92","34.95","34.60","34.71","54,156,070"
01/16/2020,"34.90","34.99","34.60","34.72","50,368,512"
01/15/2020,"34.77","34.79","34.34","34.67","74,745,453"
01/14/2020,"35.30","35.67","35.11","35.32","66,786,219"
01/13/2020,"34.84","35.07","34.66","35.06","38,015,941"
01/10/2020,"35.00","35.07","34.66","34.74","39,740,672"
01/09/2020,"35.30","35.33","34.94","35.03","39,882,762"
01/08/2020,"34.57","35.19","34.55","34.97","45,336,660"
01/07/2020,"34.70","34.92","34.53","34.62","34,348,578"
01/06/2020,"34.41","34.90","34.37","34.85","42,233,301"
01/03/2020,"34.98","35.15","34.76","34.90","50,763,660"
01/02/2020,"35.35","35.66","35.29","35.64","37,643,859"
12/31/2019,"35.03","35.26","34.97","35.22","29,635,699"
12/30/2019,"35.57","35.65","35.09","35.15","30,718,170"
12/27/2019,"35.70","35.72","35.26","35.35","28,121,039"
12/26/2019,"35.32","35.56","35.29","35.52","27,007,301"
12/24/2019,"35.19","35.28","35.12","35.22","13,805,370"
12/23/2019,"35.04","35.19","34.95","35.17","34,016,762"
12/20/2019,"35.24","35.24","34.91","34.96","109,405,602"
12/19/2019,"35.15","35.23","34.89","34.95","45,415,047"
12/18/2019,"35.11","35.27","35.05","35.11","48,785,480"
12/17/2019,"34.85","35.27","34.74","35.04","50,843,461"
12/16/2019,"34.95","35.09","34.70","34.70","50,801,113"
12/13/2019,"34.69","34.96","34.35","34.44","48,538,434"
12/12/2019,"33.78","34.81","33.68","34.68","64,995,473"
12/11/2019,"33.48","33.76","33.48","33.64","43,125,180"
12/10/2019,"33.40","33.63","33.30","33.53","41,985,793"
12/09/2019,"33.50","33.70","33.44","33.51","32,999,441"
12/06/2019,"33.68","33.80","33.57","33.67","50,926,191"
12/05/2019,"33.16","33.22","33.00","33.09","38,309,480"
12/04/2019,"33.08","33.30","32.85","33.15","46,669,008"
12/03/2019,"32.87","32.90","32.55","32.84","58,987,930"
12/02/2019,"33.45","33.75","33.34","33.43","47,199,602"
11/29/2019,"33.37","33.52","33.24","33.32","19,503,400"
