Date,Open,High,Low,Close,Volume
10/1/20,74.21,74.95,73.96,74.5,35589940
9/30/20,73.34,74.49,72.99,73.48,34032160
9/29/20,73.52,73.83,72.94,73.47,19582040
9/28/20,73.71,73.84,72.47,73.23,40158820
9/25/20,71.63,72.5,70.67,72.25,26467500
9/24/20,70.55,72.19,70.49,71.41,29004320
9/23/20,72.94,73.05,70.39,70.76,33147000
9/22/20,72.5,73.48,71.73,73.27,31664020
9/21/20,72,72.42,70.33,71.56,57776540
9/18/20,74.9,75.15,71.86,73,62077640
9/17/20,74.8,75.41,73.5,74.78,37595020
9/16/20,77.78,78.1,75.99,76.05,26245980
9/15/20,76.8,77.98,76.59,77.07,26621640
9/14/20,76.95,78.2,75.79,75.96,33931780
9/11/20,76.8,78.76,74.87,76.04,31941740
9/10/20,78.03,79.2,76.29,76.6,32371140
9/9/20,77.88,78.45,76.8,77.85,35494080
9/8/20,76.68,78.19,76.4,76.62,52217680
9/4/20,81.21,82.26,77.38,79.55,52171360
9/3/20,85.49,85.49,80.75,82.09,62155260
9/2/20,83.69,86.66,83.32,86.41,50223600
9/1/20,81.83,83.29,81.61,83.04,36533100
8/31/20,82.39,82.4,81.52,81.71,36468120
8/28/20,81.67,82.36,81.54,82.22,29995640
8/27/20,82.68,82.75,81.29,81.72,37232040
8/26/20,80.4,82.96,80.18,82.62,71621440
8/25/20,79.1,80.58,79.1,80.41,42641680
8/24/20,79.7,80.71,79.03,79.41,28204580
8/21/20,78.85,79.89,78.4,79.02,28929060
8/20/20,77.17,79.29,76.91,79.09,34137540
8/19/20,77.67,78.68,77.2,77.38,33212220
8/18/20,76.31,78.12,76.19,77.93,40541720
8/17/20,75.73,76.28,75.4,75.9,27572000
8/14/20,75.78,76.1,75.14,75.39,27104000
8/13/20,75.52,76.86,75.4,75.92,29104160
8/12/20,74.28,75.62,74.26,75.33,28753100
8/11/20,74.62,75.5,73.9,74.02,29087300
8/10/20,74.36,75.2,73.65,74.81,25790600
8/7/20,75,75.84,74.08,74.72,31556520
8/6/20,73.59,75.12,73.3,75.01,39907360
8/5/20,73.47,74.12,73.17,73.68,39599140
8/4/20,73.83,74.28,72.93,73.25,38069780
8/3/20,74.33,74.52,73.28,73.72,46630280
7/31/20,75.25,75.45,72.7,74.15,68580720
7/30/20,74.85,76.89,74.61,76.57,33427920
7/29/20,75.32,76.56,75.07,76.1,22130680
7/28/20,76.26,76.32,74.88,75.02,34043480
7/27/20,75.78,77.05,75.76,76.51,24919600
