Date,Open,High,Low,Close,Volume
10/01/2020,"279.44","280.00","275.85","277.62","2,696,923"
09/30/2020,"273.48","279.92","272.52","277.71","4,779,076"
09/29/2020,"273.40","273.84","271.11","272.11","2,049,239"
09/28/2020,"271.93","274.22","270.30","272.33","3,061,079"
09/25/2020,"264.19","270.15","263.92","268.55","2,457,922"
09/24/2020,"265.71","269.70","263.88","265.70","3,095,558"
09/23/2020,"275.42","276.62","264.69","266.55","4,467,612"
09/22/2020,"271.68","273.52","270.63","273.31","2,972,025"
09/21/2020,"271.87","272.90","266.53","272.35","3,547,977"
09/18/2020,"278.41","279.84","270.81","275.19","6,072,932"
09/17/2020,"277.91","282.72","276.96","279.96","3,166,910"
09/16/2020,"285.61","286.58","280.68","281.63","3,380,045"
09/15/2020,"283.04","286.70","282.38","285.58","4,174,935"
09/14/2020,"278.55","282.46","278.02","280.65","3,055,846"
09/11/2020,"273.98","277.98","273.46","276.33","3,729,223"
09/10/2020,"278.01","280.98","271.17","272.70","3,156,250"
09/09/2020,"272.46","279.74","271.75","277.04","4,754,651"
09/08/2020,"267.11","271.04","262.81","269.26","5,241,197"
09/04/2020,"275.55","276.77","264.67","269.66","5,253,456"
09/03/2020,"287.30","287.70","272.17","274.63","5,380,082"
09/02/2020,"284.85","288.04","283.60","287.20","3,464,637"
09/01/2020,"284.03","286.68","283.50","285.94","3,238,088"
08/31/2020,"285.00","286.69","282.87","285.04","4,105,437"
08/28/2020,"288.31","288.83","284.77","286.29","3,100,102"
08/27/2020,"292.22","292.95","286.56","288.63","3,430,926"
08/26/2020,"287.73","292.12","286.28","291.93","4,001,938"
08/25/2020,"287.27","287.48","283.89","286.13","2,854,466"
08/24/2020,"284.99","286.85","281.92","286.75","4,430,864"
08/21/2020,"279.97","283.55","278.42","283.23","5,504,045"
08/20/2020,"280.54","281.91","279.44","280.68","3,529,991"
08/19/2020,"287.46","287.97","281.93","282.86","4,986,759"
08/18/2020,"288.90","290.58","283.04","285.00","6,934,290"
08/17/2020,"284.40","289.22","283.57","288.24","5,584,428"
08/14/2020,"281.14","282.00","279.19","280.55","2,490,422"
08/13/2020,"281.16","282.66","279.74","281.66","2,202,427"
08/12/2020,"279.75","282.97","276.96","281.58","3,869,967"
08/11/2020,"277.69","279.37","274.41","274.92","3,321,260"
08/10/2020,"272.42","275.00","271.80","274.73","2,393,112"
08/07/2020,"270.61","274.92","269.81","271.64","2,846,290"
08/06/2020,"266.60","270.44","266.53","269.37","2,203,428"
08/05/2020,"268.39","268.39","265.89","267.48","1,963,860"
08/04/2020,"266.63","267.89","263.84","267.87","2,223,957"
08/03/2020,"266.73","268.58","265.67","266.18","2,364,447"
07/31/2020,"265.00","267.17","260.61","265.49","3,640,388"
07/30/2020,"263.34","267.35","261.55","266.31","2,347,799"
07/29/2020,"264.80","267.11","264.17","264.66","2,874,097"
07/28/2020,"268.56","269.07","264.67","265.28","2,226,974"
07/27/2020,"265.09","268.68","265.09","267.42","2,412,476"
07/24/2020,"265.04","266.89","262.99","265.31","2,984,507"
07/23/2020,"267.80","267.80","261.80","263.81","2,680,102"
07/22/2020,"262.59","265.59","262.00","265.17","2,749,966"
07/21/2020,"261.62","263.87","260.72","262.42","2,440,478"
07/20/2020,"259.04","261.20","258.02","260.17","2,451,072"
07/17/2020,"260.03","260.65","257.72","260.38","3,094,992"
07/16/2020,"256.76","260.50","256.00","258.08","2,511,224"
07/15/2020,"260.14","261.29","255.15","257.80","4,343,650"
07/14/2020,"249.00","258.18","248.46","257.79","4,614,212"
07/13/2020,"251.92","257.86","249.09","249.62","4,437,469"
07/10/2020,"248.29","250.33","246.64","250.11","2,745,258"
07/09/2020,"249.66","250.51","246.35","247.96","2,994,695"
07/08/2020,"247.87","249.79","246.22","249.17","2,293,978"
07/07/2020,"247.37","250.78","247.07","247.35","2,927,762"
07/06/2020,"250.27","251.50","247.04","249.55","3,133,849"
07/02/2020,"251.94","252.30","247.92","248.50","3,369,796"
07/01/2020,"249.65","250.33","246.93","248.15","3,677,252"
06/30/2020,"247.00","251.65","246.09","250.51","4,524,580"
06/29/2020,"242.66","246.50","240.34","246.12","3,468,293"
06/26/2020,"245.35","246.10","240.25","241.01","5,002,690"
06/25/2020,"244.80","246.35","242.20","245.38","2,938,448"
06/24/2020,"247.81","250.29","242.73","246.13","3,873,027"
06/23/2020,"253.00","253.44","250.13","250.31","3,105,348"
06/22/2020,"245.70","250.06","245.51","249.16","3,815,172"
06/19/2020,"253.10","254.30","246.38","246.65","11,114,630"
06/18/2020,"249.36","251.75","247.13","249.21","3,347,826"
06/17/2020,"252.77","254.62","250.08","250.85","4,234,003"
06/16/2020,"249.40","251.65","242.87","249.95","5,296,424"
06/15/2020,"237.62","242.22","234.31","241.36","6,253,342"
06/12/2020,"243.07","246.39","237.05","242.45","5,238,493"
06/11/2020,"248.86","250.62","238.74","239.47","6,563,710"
06/10/2020,"257.45","259.29","254.22","254.45","3,589,810"
06/09/2020,"255.33","258.29","253.86","256.76","3,716,430"
06/08/2020,"252.49","256.81","252.26","256.77","3,811,872"
06/05/2020,"252.34","255.85","250.38","254.90","5,054,333"
06/04/2020,"249.77","252.17","247.47","248.95","4,759,381"
06/03/2020,"251.80","252.83","250.39","251.00","4,638,114"
06/02/2020,"248.63","252.72","247.00","252.71","5,301,049"
06/01/2020,"249.41","249.78","245.87","247.29","3,409,936"
05/29/2020,"245.06","249.71","244.73","248.48","5,342,824"
05/28/2020,"249.52","252.23","244.43","245.14","5,261,750"
05/27/2020,"242.69","247.39","240.78","247.36","4,664,800"
05/26/2020,"248.15","248.22","242.07","242.48","4,535,235"
05/22/2020,"240.70","242.34","238.66","241.88","3,041,768"
05/21/2020,"237.62","241.18","235.79","240.88","4,772,695"
05/20/2020,"242.00","242.27","234.95","238.19","7,534,153"
05/19/2020,"240.45","242.46","237.80","238.10","9,386,987"
05/18/2020,"245.84","248.32","244.04","245.35","8,341,251"
05/15/2020,"232.79","243.23","232.70","239.33","16,176,260"
05/14/2020,"226.37","234.66","226.20","234.48","6,434,481"
05/13/2020,"233.04","236.30","228.54","230.10","6,237,154"
05/12/2020,"238.57","239.25","232.90","232.90","4,399,618"
05/11/2020,"231.77","238.77","231.25","236.56","4,378,313"
05/08/2020,"232.70","235.55","231.15","234.43","4,367,213"
05/07/2020,"226.51","231.63","226.42","229.45","4,503,029"
05/06/2020,"227.37","228.44","223.80","223.92","3,321,131"
05/05/2020,"224.94","228.85","223.61","225.61","4,655,164"
05/04/2020,"216.68","222.66","215.21","221.84","4,090,943"
05/01/2020,"216.77","219.70","215.77","218.57","3,819,299"
04/30/2020,"216.79","222.11","216.52","219.83","5,152,681"
04/29/2020,"221.34","224.17","219.82","221.81","4,381,069"
04/28/2020,"223.99","224.22","216.91","217.63","5,080,746"
04/27/2020,"215.04","220.94","214.01","217.76","5,472,779"
04/24/2020,"204.73","212.93","203.85","212.18","5,026,219"
04/23/2020,"203.32","206.97","202.19","202.32","3,565,518"
04/22/2020,"201.89","205.71","201.14","204.17","4,071,352"
04/21/2020,"200.75","204.34","199.51","200.61","4,844,962"
04/20/2020,"206.13","211.03","205.36","206.05","4,753,058"
04/17/2020,"207.17","210.25","206.16","209.42","6,717,580"
04/16/2020,"199.12","202.21","196.82","199.85","7,262,770"
04/15/2020,"198.67","202.24","196.61","198.48","5,693,945"
04/14/2020,"201.88","209.73","200.13","207.17","5,655,443"
04/13/2020,"200.45","200.45","195.37","198.79","4,415,560"
04/09/2020,"199.80","205.99","196.50","201.53","7,125,726"
04/08/2020,"194.21","196.77","191.54","194.82","6,094,736"
04/07/2020,"202.92","204.11","191.85","192.29","6,438,763"
04/06/2020,"188.00","192.41","185.13","191.33","7,377,810"
04/03/2020,"179.56","181.35","174.94","178.70","7,299,814"
04/02/2020,"174.95","182.72","174.00","181.31","6,353,948"
04/01/2020,"175.91","182.76","175.00","178.63","7,858,183"
03/31/2020,"194.80","195.49","185.45","186.71","7,341,134"
03/30/2020,"190.57","198.20","187.61","196.10","6,936,746"
03/27/2020,"188.49","196.38","186.50","190.55","7,121,658"
03/26/2020,"183.49","198.20","182.50","195.21","10,174,080"
03/25/2020,"184.42","191.55","180.00","181.76","11,497,380"
03/24/2020,"173.39","185.67","172.01","184.72","14,676,620"
03/23/2020,"150.06","164.93","146.34","162.39","12,241,620"
03/20/2020,"162.78","170.22","151.81","152.15","12,602,420"
03/19/2020,"153.16","162.91","142.00","161.13","13,499,060"
03/18/2020,"159.80","162.33","140.63","155.63","14,681,870"
03/17/2020,"168.21","174.78","155.30","173.64","16,234,410"
03/16/2020,"181.97","186.10","163.11","164.96","12,536,630"
03/13/2020,"200.45","205.82","190.00","205.67","10,292,300"
03/12/2020,"195.41","206.58","184.84","190.59","10,928,670"
03/11/2020,"217.30","219.15","210.50","212.89","7,261,975"
03/10/2020,"217.21","225.83","211.00","225.70","7,206,600"
03/09/2020,"213.87","216.18","207.25","210.46","10,120,510"
03/06/2020,"227.57","230.29","222.25","228.51","7,400,162"
03/05/2020,"236.60","239.61","233.15","234.81","6,473,854"
03/04/2020,"233.01","241.32","231.80","241.08","6,769,978"
03/03/2020,"230.03","235.82","225.57","227.94","8,432,488"
03/02/2020,"219.98","230.00","218.49","229.94","7,150,821"
02/28/2020,"218.63","221.06","212.33","217.84","11,814,660"
02/27/2020,"231.07","234.82","224.57","224.73","7,612,793"
02/26/2020,"239.10","241.04","234.32","235.28","6,965,709"
02/25/2020,"246.10","246.97","236.48","237.38","8,061,529"
02/24/2020,"238.48","243.11","237.70","239.70","5,350,146"
02/21/2020,"246.50","247.36","244.00","245.34","3,881,083"
02/20/2020,"243.69","247.12","242.15","247.02","3,701,834"
02/19/2020,"244.91","245.50","243.01","243.64","2,713,341"
02/18/2020,"244.84","246.11","243.16","243.94","2,893,400"
02/14/2020,"243.44","245.20","242.63","245.03","2,841,585"
02/13/2020,"240.97","243.60","240.40","242.36","2,468,189"
02/12/2020,"242.13","242.30","238.84","241.59","3,592,140"
02/11/2020,"240.61","242.45","240.20","241.64","2,692,405"
02/10/2020,"236.60","240.61","236.18","240.61","2,568,037"
02/07/2020,"238.84","239.53","236.52","237.30","2,456,067"
02/06/2020,"238.00","239.41","237.48","238.84","3,930,383"
02/05/2020,"237.10","238.32","235.86","238.11","3,868,791"
02/04/2020,"234.03","236.36","234.03","235.00","3,505,081"
02/03/2020,"230.30","233.53","229.35","231.54","5,101,207"
01/31/2020,"232.96","233.23","227.89","228.10","5,304,743"
01/30/2020,"232.00","233.30","231.57","232.79","4,685,674"
01/29/2020,"234.90","235.88","233.40","234.02","2,564,540"
01/28/2020,"231.82","235.25","231.35","233.86","3,622,093"
01/27/2020,"228.20","232.47","228.20","231.19","3,595,928"
01/24/2020,"234.46","235.43","230.56","232.00","4,467,501"
01/23/2020,"232.13","234.82","230.64","233.65","4,617,883"
01/22/2020,"233.79","236.53","232.88","232.90","4,030,827"
01/21/2020,"231.53","233.66","231.06","232.95","4,873,853"
01/17/2020,"229.61","232.60","228.91","231.91","7,979,597"
01/16/2020,"225.93","228.86","225.40","228.82","5,390,755"
01/15/2020,"222.28","224.98","222.13","224.59","3,444,310"
01/14/2020,"222.48","224.95","222.31","222.81","3,916,025"
01/13/2020,"224.50","224.51","222.68","223.34","6,061,943"
01/10/2020,"224.75","225.49","223.03","224.22","4,226,760"
01/09/2020,"222.64","225.55","221.85","225.19","4,844,154"
01/08/2020,"218.80","222.97","218.67","221.79","4,916,829"
01/07/2020,"219.50","220.56","216.90","218.52","5,696,660"
01/06/2020,"216.49","220.00","216.40","219.96","5,683,576"
01/03/2020,"217.14","219.68","216.75","218.93","3,425,706"
01/02/2020,"219.08","219.76","217.84","219.66","3,936,097"
12/31/2019,"217.10","218.51","216.44","218.38","3,790,250"
12/30/2019,"220.37","220.49","216.55","217.31","3,952,771"
12/27/2019,"221.20","221.79","219.78","219.97","3,082,875"
12/26/2019,"220.74","221.15","219.59","220.82","2,650,339"
12/24/2019,"219.50","221.04","219.22","220.67","2,260,656"
12/23/2019,"222.00","222.00","219.14","219.21","3,945,353"
12/20/2019,"220.59","221.57","219.80","221.19","7,778,259"
12/19/2019,"218.48","220.77","218.28","220.22","5,765,685"
12/18/2019,"218.21","219.59","217.64","218.00","6,678,292"
12/17/2019,"216.02","219.45","215.87","217.72","7,578,895"
12/16/2019,"214.43","216.72","214.30","215.53","5,851,489"
12/13/2019,"212.12","214.23","210.67","214.08","6,869,000"
12/12/2019,"212.50","214.13","210.73","212.04","9,916,525"
12/11/2019,"211.03","213.65","210.61","212.00","8,286,340"
12/10/2019,"216.52","216.69","215.10","215.90","4,664,413"
12/09/2019,"214.29","217.88","214.18","216.53","5,149,564"
12/06/2019,"214.21","215.36","213.90","214.28","4,194,211"
12/05/2019,"214.36","214.50","211.77","213.00","4,581,409"
12/04/2019,"213.50","214.96","213.19","214.10","4,256,397"
12/03/2019,"216.45","216.45","212.93","214.00","6,734,092"
12/02/2019,"220.90","221.19","217.46","217.62","4,428,499"
11/29/2019,"223.30","223.33","220.29","220.51","2,952,948"
11/27/2019,"221.68","223.45","220.66","223.00","6,691,487"
11/26/2019,"218.76","220.96","218.39","220.76","9,988,417"
11/25/2019,"218.00","218.53","216.88","218.40","8,869,811"
11/22/2019,"218.50","219.13","217.81","218.03","5,786,478"
11/21/2019,"221.94","222.31","218.50","218.54","7,823,720"
11/20/2019,"224.55","225.00","220.57","220.90","10,228,810"
11/19/2019,"230.60","233.12","225.40","225.86","14,984,830"
11/18/2019,"238.44","239.31","236.76","238.85","5,766,962"
11/15/2019,"237.69","238.05","236.36","237.29","3,526,672"
11/14/2019,"235.00","236.94","234.04","236.55","2,283,848"
11/13/2019,"232.09","234.90","230.85","234.80","2,625,015"
