Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,19.64,19.68,19.37,19.51,2858544,HSBC,1
9/30/20,19.53,19.71,19.49,19.58,4283386,HSBC,2
9/29/20,19.26,19.5,19.17,19.4,6594535,HSBC,3
9/28/20,19.8,19.99,19.64,19.96,6159773,HSBC,4
9/25/20,18.01,18.12,17.95,18.11,3674055,HSBC,5
9/24/20,18.4,18.54,18.2,18.39,3656001,HSBC,6
9/23/20,18.69,18.85,18.36,18.42,3992144,HSBC,7
9/22/20,18.69,18.78,18.26,18.35,4592217,HSBC,8
9/21/20,18.57,18.78,18.38,18.64,6124492,HSBC,9
9/18/20,19.85,19.9,19.7,19.73,4128070,HSBC,10
9/17/20,20.04,20.24,20.0,20.14,2274424,HSBC,11
9/16/20,20.33,20.56,20.26,20.39,2411305,HSBC,12
9/15/20,20.87,20.87,20.64,20.71,2528955,HSBC,13
9/14/20,20.82,20.86,20.62,20.64,2286595,HSBC,14
9/11/20,20.6,20.71,20.54,20.67,2486501,HSBC,15
9/10/20,21.01,21.12,20.69,20.71,2903012,HSBC,16
9/9/20,21.27,21.37,21.15,21.21,3462130,HSBC,17
9/8/20,20.93,21.0,20.8,20.87,3358753,HSBC,18
9/4/20,21.35,21.44,21.03,21.37,3747670,HSBC,19
9/3/20,21.33,21.52,20.99,21.06,4469811,HSBC,20
9/2/20,21.2,21.45,21.18,21.43,2818002,HSBC,21
9/1/20,21.27,21.39,21.1,21.24,3354481,HSBC,22
8/31/20,21.9,21.99,21.59,21.63,2542762,HSBC,23
8/28/20,22.13,22.15,21.94,22.04,2177576,HSBC,24
8/27/20,21.67,21.81,21.58,21.65,2418597,HSBC,25
8/26/20,21.86,21.91,21.75,21.82,2644117,HSBC,26
8/25/20,22.1,22.2,21.96,22.06,3699353,HSBC,27
8/24/20,21.77,22.25,21.71,22.25,4130586,HSBC,28
8/21/20,21.37,21.64,21.37,21.64,2742125,HSBC,29
8/20/20,21.56,21.72,21.53,21.72,2807952,HSBC,30
8/19/20,21.87,22.11,21.87,21.95,1954164,HSBC,31
8/18/20,22.05,22.07,21.84,21.89,2145040,HSBC,32
8/17/20,22.25,22.28,22.05,22.2,2297243,HSBC,33
8/14/20,22.13,22.35,22.12,22.28,1900040,HSBC,34
8/13/20,22.71,22.79,22.28,22.34,2615249,HSBC,35
8/12/20,23.39,23.4,23.08,23.12,4418679,HSBC,36
8/11/20,22.42,22.82,22.35,22.49,6771887,HSBC,37
8/10/20,21.38,21.77,21.35,21.69,3810547,HSBC,38
8/7/20,20.99,21.37,20.98,21.34,4322195,HSBC,39
8/6/20,21.21,21.43,21.21,21.38,3423503,HSBC,40
8/5/20,21.7,21.91,21.7,21.82,2678140,HSBC,41
8/4/20,21.63,21.98,21.58,21.91,2890557,HSBC,42
8/3/20,21.42,21.84,21.35,21.58,5069721,HSBC,43
7/31/20,22.58,22.67,22.34,22.65,5842836,HSBC,44
7/30/20,22.59,22.78,22.41,22.76,3823927,HSBC,45
7/29/20,23.45,23.59,23.27,23.57,3848911,HSBC,46
7/28/20,22.6,22.87,22.57,22.75,3262940,HSBC,47
7/27/20,22.72,22.81,22.55,22.67,2991962,HSBC,48
7/24/20,23.3,23.44,23.22,23.24,2420731,HSBC,49
7/23/20,23.46,23.54,23.29,23.35,3619787,HSBC,50
7/22/20,23.51,23.65,23.41,23.56,3284572,HSBC,51
7/21/20,24.2,24.3,23.96,24.16,2654764,HSBC,52
7/20/20,23.48,23.71,23.42,23.63,2315504,HSBC,53
7/17/20,23.82,23.84,23.57,23.61,2854289,HSBC,54
7/16/20,24.12,24.32,24.06,24.11,2670507,HSBC,55
7/15/20,24.26,24.4,24.15,24.27,3346232,HSBC,56
7/14/20,23.78,24.02,23.71,23.95,3731466,HSBC,57
7/13/20,23.99,24.09,23.78,23.89,3253971,HSBC,58
7/10/20,23.57,23.92,23.57,23.88,3519684,HSBC,59
7/9/20,23.87,23.88,23.43,23.52,4136677,HSBC,60
7/8/20,23.99,24.13,23.92,24.09,6168362,HSBC,61
7/7/20,24.78,24.93,24.56,24.6,3773478,HSBC,62
7/6/20,25.25,25.64,25.22,25.64,4810206,HSBC,63
7/2/20,24.13,24.38,24.03,24.26,4540977,HSBC,64
7/1/20,23.19,23.41,23.11,23.2,3684667,HSBC,65
6/30/20,23.18,23.43,23.12,23.33,4331877,HSBC,66
6/29/20,23.52,23.72,23.45,23.59,2835595,HSBC,67
6/26/20,23.9,23.9,23.33,23.36,3900311,HSBC,68
6/25/20,23.66,24.07,23.57,24.06,3873726,HSBC,69
6/24/20,23.91,23.91,23.46,23.52,3800105,HSBC,70
6/23/20,24.21,24.33,24.06,24.14,3493126,HSBC,71
6/22/20,23.69,23.85,23.6,23.68,3666568,HSBC,72
