Date,Open,High,Low,Close,Volume
10/1/20,148.33,148.71,144.06,144.29,3809247
9/30/20,146.4,148.45,145.06,148.02,5083858
9/29/20,147.98,148.44,145.93,146.26,3308955
9/28/20,151,151.58,147.9,148.1,2427522
9/25/20,148.39,150.4,147.85,150.26,2440587
9/24/20,149.26,149.66,147.37,148.81,3424319
9/23/20,150.05,151.59,148.7,149.81,3546101
9/22/20,150.91,151.57,149.15,149.86,2926393
9/21/20,153.17,153.66,149.06,151.18,3501584
9/18/20,152.04,154.5,152.04,154.17,13210110
9/17/20,150.13,152.68,149.46,152.47,3620831
9/16/20,151.72,152.68,150.79,150.96,3619715
9/15/20,149.96,151.87,149.42,150.08,2923507
9/14/20,149.09,150.51,147.47,149,3072507
9/11/20,147.56,149.19,146.88,148.09,3001470
9/10/20,149.88,150.6,145.72,146.22,3961343
9/9/20,150.62,154.12,150.31,151.97,2328525
9/8/20,150.95,151.31,148.5,149.31,4351532
9/4/20,148.77,152.58,147.95,150.91,4361833
9/3/20,152.19,153.37,147.46,149.02,4226126
9/2/20,146.79,150,146.51,149.55,2407127
9/1/20,148.61,149.2,146.65,147.3,2359277
8/31/20,147.35,148.8,147.03,148.39,4430706
8/28/20,148.84,149.15,146.98,147.34,2102621
8/27/20,150.58,150.94,148.94,148.97,3146090
8/26/20,149.19,149.46,147.41,149.26,3029691
8/25/20,150.36,151.31,149.31,149.68,2216224
8/24/20,150.05,150.4,148.25,149.52,2268439
8/21/20,151.34,151.35,147.95,149.26,3111979
8/20/20,152.55,152.85,150.85,151.34,1830243
8/19/20,153.81,154.41,152.01,152.29,1939000
8/18/20,152.15,153.15,151.15,153.11,1960131
8/17/20,150.92,152.7,150.36,151.53,2704741
8/14/20,149.8,151.69,149.15,150.09,1538044
8/13/20,150.82,151.69,149.79,150.46,2077861
8/12/20,150.79,153.17,150.6,152.55,2430758
8/11/20,153.14,153.14,150.2,150.63,2103351
8/10/20,152.93,153.49,151.53,153,1745207
8/7/20,152.96,153.5,151.58,152.93,2017370
8/6/20,153.85,155.5,151,152.88,2176543
8/5/20,157.31,157.49,153.3,154.34,2476460
8/4/20,153.38,156,153.09,154.85,3260042
8/3/20,152.8,153.85,151.22,152.84,3618435
7/31/20,153.13,153.34,148.74,150.29,5342109
7/30/20,158.45,158.5,150.45,153,6638127
7/29/20,162.53,163.03,161.1,161.75,3108858
7/28/20,161.67,165.41,161.35,162.65,3483155
7/27/20,159.6,161.74,158.59,160.5,2709788
7/24/20,161.47,161.47,158.45,159.54,2247922
7/23/20,165.26,165.46,160.79,161.52,2408773
7/22/20,165.54,165.85,162.33,164.84,1686461
7/21/20,166.87,167.23,164.76,165.3,1540685
7/20/20,166.49,167.71,165.73,167.04,1806386
7/17/20,166.04,167.26,165.11,165.96,3027743
7/16/20,164.95,165.44,162.6,165,1486791
7/15/20,165.19,166.48,163.9,165.45,2346191
7/14/20,162.88,164.77,161.53,163.88,2642956
