Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,334.01,343.27,332.62,341.05,1715913,LULU,1
9/30/20,328.8,334.34,326.81,329.37,2001846,LULU,2
9/29/20,318.74,325.24,315.97,323.67,1344119,LULU,3
9/28/20,317.88,319.29,310.6,318.73,1448539,LULU,4
9/25/20,315.61,316.5,308.59,315.35,1788035,LULU,5
9/24/20,312.89,320.92,303.21,315.58,2451275,LULU,6
9/23/20,325.34,331.85,313.79,316.77,4646018,LULU,7
9/22/20,297.62,314.15,296.77,313.6,4030441,LULU,8
9/21/20,289.65,295.68,287.21,295.56,2257336,LULU,9
9/18/20,304.73,304.8,290.57,294.76,3042766,LULU,10
9/17/20,304.15,308.84,301.55,303.11,2258120,LULU,11
9/16/20,316.32,317.43,309.58,309.99,1691976,LULU,12
9/15/20,318.33,319.0,312.68,315.49,1836695,LULU,13
9/14/20,315.99,317.75,311.13,313.82,1775569,LULU,14
9/11/20,323.0,323.0,308.63,313.39,3090369,LULU,15
9/10/20,326.9,336.28,317.67,320.0,3416632,LULU,16
9/9/20,334.83,334.92,315.25,323.93,8543121,LULU,17
9/8/20,351.01,365.0,348.5,349.8,3512467,LULU,18
9/4/20,372.39,376.4,345.97,361.41,3111650,LULU,19
9/3/20,393.39,396.83,376.37,377.87,2412878,LULU,20
9/2/20,398.11,399.9,387.08,398.29,1631250,LULU,21
9/1/20,376.6,391.38,373.56,391.16,1364372,LULU,22
8/31/20,377.5,379.31,372.5,375.67,1672043,LULU,23
8/28/20,377.0,380.92,376.13,377.48,1257397,LULU,24
8/27/20,384.0,384.05,373.89,374.84,1694124,LULU,25
8/26/20,381.41,383.2,376.67,381.5,1021812,LULU,26
8/25/20,376.51,380.59,372.21,378.5,1064280,LULU,27
8/24/20,372.2,377.84,369.4,376.31,1565566,LULU,28
8/21/20,367.45,369.77,364.55,368.75,847465,LULU,29
8/20/20,358.18,367.94,356.3,366.42,1078403,LULU,30
8/19/20,360.58,364.89,356.17,360.84,920752,LULU,31
8/18/20,358.07,360.77,352.45,358.78,1012956,LULU,32
8/17/20,350.49,355.82,350.0,354.87,729695,LULU,33
8/14/20,350.15,351.69,345.03,349.12,877284,LULU,34
8/13/20,349.99,354.59,346.27,350.29,1439644,LULU,35
8/12/20,338.0,346.43,337.79,345.33,1294837,LULU,36
8/11/20,344.32,344.78,334.87,335.37,1518772,LULU,37
8/10/20,342.47,347.35,337.39,344.32,1612043,LULU,38
8/7/20,339.08,343.74,336.51,342.12,1580595,LULU,39
8/6/20,342.32,343.09,334.12,339.18,1153164,LULU,40
8/5/20,330.94,343.59,328.27,340.42,2188813,LULU,41
8/4/20,327.93,330.39,324.32,328.21,1044557,LULU,42
8/3/20,327.99,331.17,324.01,328.59,1362549,LULU,43
7/31/20,326.17,326.28,319.6,325.59,1282629,LULU,44
7/30/20,322.3,325.38,316.99,323.66,1225433,LULU,45
7/29/20,322.2,329.5,321.5,325.74,1318780,LULU,46
7/28/20,331.22,333.88,321.91,322.64,1534178,LULU,47
7/27/20,324.28,333.18,323.04,331.55,2029300,LULU,48
7/24/20,316.26,325.71,313.62,321.5,1442306,LULU,49
7/23/20,327.16,337.57,316.0,320.01,2592475,LULU,50
7/22/20,325.89,329.48,322.53,326.72,901577,LULU,51
7/21/20,330.36,330.9,324.07,325.39,1471644,LULU,52
7/20/20,319.14,329.85,317.0,326.84,1996945,LULU,53
7/17/20,315.02,319.04,310.86,316.82,1674044,LULU,54
7/16/20,308.5,315.21,306.78,313.08,1185609,LULU,55
7/15/20,308.59,314.0,304.14,312.51,1653998,LULU,56
7/14/20,303.53,309.45,295.01,308.32,2051186,LULU,57
7/13/20,316.75,321.82,304.54,305.15,2212276,LULU,58
7/10/20,316.64,317.97,308.12,314.39,1755644,LULU,59
7/9/20,309.8,319.11,303.68,315.2,3287280,LULU,60
7/8/20,310.88,311.25,306.58,309.88,1269632,LULU,61
7/7/20,313.12,313.13,306.31,306.74,1337039,LULU,62
7/6/20,309.0,316.12,308.6,314.35,2557866,LULU,63
7/2/20,312.15,312.59,302.5,304.77,1885128,LULU,64
7/1/20,314.5,316.99,306.36,308.62,1767472,LULU,65
6/30/20,305.0,318.32,304.2,312.01,5473598,LULU,66
6/29/20,290.11,295.67,284.29,294.35,1860889,LULU,67
6/26/20,293.8,295.1,288.11,289.53,1700776,LULU,68
6/25/20,294.3,295.26,288.5,295.13,1268020,LULU,69
6/24/20,299.48,303.15,290.52,295.22,1595010,LULU,70
6/23/20,308.01,310.21,300.73,301.16,1392147,LULU,71
6/22/20,298.01,306.57,293.85,304.69,1580329,LULU,72
6/19/20,306.98,307.01,295.29,297.38,2299817,LULU,73
6/18/20,303.99,305.66,299.0,302.98,1573742,LULU,74
6/17/20,313.0,313.83,302.57,303.69,1720259,LULU,75
6/16/20,310.79,312.8,303.27,310.61,2107915,LULU,76
6/15/20,289.17,303.25,288.61,303.05,2258670,LULU,77
6/12/20,302.84,308.38,289.55,296.36,7634471,LULU,78
6/11/20,314.37,321.1,306.63,308.12,3659551,LULU,79
6/10/20,318.6,324.76,316.54,323.25,1746789,LULU,80
6/9/20,313.2,318.9,307.8,316.4,2375172,LULU,81
6/8/20,322.06,322.63,312.73,315.3,2588483,LULU,82
6/5/20,319.16,323.8,317.0,319.78,2385335,LULU,83
6/4/20,321.5,323.52,313.5,317.42,2751968,LULU,84
6/3/20,313.06,324.7,312.5,323.74,2760314,LULU,85
6/2/20,305.51,314.87,302.01,312.3,2871989,LULU,86
6/1/20,299.77,310.22,297.25,308.69,2391920,LULU,87
5/29/20,285.91,301.49,284.15,300.1,4877279,LULU,88
5/28/20,281.47,291.31,277.52,284.42,2309327,LULU,89
5/27/20,281.38,282.9,271.6,281.5,2159041,LULU,90
5/26/20,282.55,284.92,279.31,281.41,2118784,LULU,91
5/22/20,268.7,277.02,267.02,276.73,2073940,LULU,92
5/21/20,259.37,268.27,257.57,267.53,1808432,LULU,93
5/20/20,256.1,259.6,255.18,258.38,1095930,LULU,94
5/19/20,256.89,257.38,251.03,251.41,1480513,LULU,95
5/18/20,253.73,259.61,252.03,255.65,2319111,LULU,96
5/15/20,234.89,247.54,234.01,247.09,1751147,LULU,97
5/14/20,226.56,237.74,225.81,237.57,1453668,LULU,98
5/13/20,242.25,243.1,225.89,229.39,2240090,LULU,99
5/12/20,247.07,248.75,242.34,242.6,1924551,LULU,100
5/11/20,237.57,246.84,234.53,245.62,1952128,LULU,101
5/8/20,229.0,238.32,228.5,237.99,2037708,LULU,102
5/7/20,224.53,228.59,220.57,225.99,1700630,LULU,103
5/6/20,218.99,225.0,218.97,223.18,1229909,LULU,104
5/5/20,221.72,222.0,216.18,218.21,1298956,LULU,105
5/4/20,215.08,218.84,213.97,218.69,1059842,LULU,106
5/1/20,219.11,220.46,216.2,218.69,1744561,LULU,107
4/30/20,229.72,231.55,223.48,223.48,1591228,LULU,108
4/29/20,229.84,237.49,227.51,232.43,1393263,LULU,109
4/28/20,231.3,231.95,224.19,224.47,1340443,LULU,110
4/27/20,217.6,227.87,216.38,226.89,2227548,LULU,111
