Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,149.45,150.16,146.27,146.96,1377817,MCK,1
9/30/20,146.23,150.49,146.06,148.93,1384491,MCK,2
9/29/20,150.28,150.28,146.5,146.56,1469682,MCK,3
9/28/20,150.85,151.61,149.05,150.09,1161069,MCK,4
9/25/20,146.5,149.19,146.12,148.51,993474,MCK,5
9/24/20,146.81,149.57,145.0,146.56,1024580,MCK,6
9/23/20,149.43,151.15,146.83,147.09,1002518,MCK,7
9/22/20,148.11,150.86,148.11,149.61,1437904,MCK,8
9/21/20,149.04,150.0,146.46,148.23,1460998,MCK,9
9/18/20,150.5,153.92,150.5,152.13,2188324,MCK,10
9/17/20,150.36,153.02,149.44,151.5,1515602,MCK,11
9/16/20,151.84,154.69,151.59,152.75,1411816,MCK,12
9/15/20,151.34,153.66,150.81,150.87,982109,MCK,13
9/14/20,151.14,152.91,149.51,150.9,1016491,MCK,14
9/11/20,151.3,152.05,149.69,150.37,730836,MCK,15
9/10/20,152.38,154.91,150.62,150.73,934079,MCK,16
9/9/20,151.03,153.8,149.86,152.31,1002273,MCK,17
9/8/20,152.3,153.76,149.7,149.93,1234188,MCK,18
9/4/20,153.37,155.67,150.09,152.43,1095841,MCK,19
9/3/20,158.14,159.06,152.69,154.32,1308346,MCK,20
9/2/20,150.41,156.87,150.1,156.25,1386582,MCK,21
9/1/20,154.17,154.51,148.39,150.22,1276294,MCK,22
8/31/20,153.13,155.1,152.24,153.44,952196,MCK,23
8/28/20,154.26,154.58,152.23,153.87,517535,MCK,24
8/27/20,152.43,155.36,150.66,154.26,935014,MCK,25
8/26/20,150.96,152.55,149.75,152.08,587806,MCK,26
8/25/20,150.08,152.3,148.81,152.0,669089,MCK,27
8/24/20,151.96,152.0,148.04,149.66,783802,MCK,28
8/21/20,151.47,151.97,149.65,150.97,1335866,MCK,29
8/20/20,151.96,153.07,151.43,151.89,629542,MCK,30
8/19/20,155.36,156.17,152.97,153.34,599672,MCK,31
8/18/20,155.58,157.3,155.39,155.54,727470,MCK,32
8/17/20,160.0,160.08,155.59,155.79,1069448,MCK,33
8/14/20,151.37,160.0,151.06,158.67,3209688,MCK,34
8/13/20,152.1,152.33,149.03,152.19,874756,MCK,35
8/12/20,152.0,154.61,150.95,153.0,920087,MCK,36
8/11/20,153.27,154.13,150.67,151.31,892010,MCK,37
8/10/20,151.94,153.78,150.77,152.39,816509,MCK,38
8/7/20,150.83,152.11,150.73,152.0,569031,MCK,39
8/6/20,152.64,153.52,151.02,151.75,1216645,MCK,40
8/5/20,158.03,158.25,152.75,153.67,1234141,MCK,41
8/4/20,159.0,159.31,156.0,157.02,1051252,MCK,42
8/3/20,155.66,160.39,154.54,159.9,1452171,MCK,43
7/31/20,153.5,153.5,146.77,150.16,1488158,MCK,44
7/30/20,154.49,154.49,150.99,153.61,748190,MCK,45
7/29/20,154.98,157.12,152.77,155.7,1451875,MCK,46
7/28/20,157.0,157.13,153.64,153.89,921594,MCK,47
7/27/20,154.49,157.38,152.82,157.15,744366,MCK,48
7/24/20,156.66,157.78,154.87,155.34,594275,MCK,49
7/23/20,156.63,158.08,155.87,156.66,891259,MCK,50
7/22/20,155.83,157.66,155.04,156.25,988312,MCK,51
7/21/20,154.0,157.02,153.5,155.98,856825,MCK,52
7/20/20,154.81,155.18,151.79,153.5,630049,MCK,53
7/17/20,153.69,155.65,153.46,154.81,653502,MCK,54
7/16/20,153.0,155.4,151.94,153.37,635448,MCK,55
7/15/20,149.91,153.87,149.5,153.5,1339140,MCK,56
7/14/20,144.05,148.3,143.07,147.84,1259035,MCK,57
7/13/20,143.92,146.97,142.39,144.98,1078481,MCK,58
7/10/20,141.0,143.88,140.85,143.02,958429,MCK,59
7/9/20,144.74,145.46,139.77,140.89,1141133,MCK,60
7/8/20,146.27,147.44,143.53,144.57,1190736,MCK,61
7/7/20,148.21,149.62,145.76,145.8,1571333,MCK,62
7/6/20,154.43,154.83,150.38,151.51,706388,MCK,63
7/2/20,152.13,155.83,152.13,152.73,841179,MCK,64
7/1/20,153.42,154.89,150.4,150.91,1168556,MCK,65
6/30/20,150.83,154.49,149.96,153.42,1038825,MCK,66
6/29/20,149.35,152.32,149.06,151.77,817238,MCK,67
6/26/20,150.6,152.3,147.2,148.21,3726335,MCK,68
6/25/20,150.43,151.78,149.1,151.29,877907,MCK,69
6/24/20,152.55,154.33,148.67,150.56,1008490,MCK,70
6/23/20,156.27,156.41,153.42,153.67,1132529,MCK,71
6/22/20,156.43,157.48,153.97,154.89,1001162,MCK,72
6/19/20,156.16,158.44,154.77,156.7,1498483,MCK,73
6/18/20,153.24,154.24,151.84,153.42,771276,MCK,74
6/17/20,156.82,156.97,154.18,154.45,780451,MCK,75
6/16/20,155.82,157.61,153.3,156.32,1072124,MCK,76
6/15/20,145.84,152.35,144.4,151.72,1856803,MCK,77
6/12/20,150.43,151.1,144.74,148.25,894661,MCK,78
6/11/20,151.48,151.81,144.56,146.56,1570414,MCK,79
6/10/20,161.63,161.88,154.37,154.39,1435755,MCK,80
6/9/20,163.42,163.42,160.43,161.19,787091,MCK,81
6/8/20,161.21,165.13,161.05,164.68,1272175,MCK,82
6/5/20,161.08,165.04,160.7,161.62,1518161,MCK,83
6/4/20,160.38,162.25,158.39,159.52,1558074,MCK,84
6/3/20,164.65,164.65,161.12,161.72,1147159,MCK,85
6/2/20,158.9,163.35,156.42,163.19,3981937,MCK,86
6/1/20,158.33,160.58,157.63,158.94,991832,MCK,87
5/29/20,157.09,159.07,155.11,158.67,1642340,MCK,88
5/28/20,156.73,159.31,155.63,156.86,1573700,MCK,89
5/27/20,149.6,155.38,149.6,155.34,1561648,MCK,90
5/26/20,152.45,153.71,148.82,149.19,1259650,MCK,91
5/22/20,145.91,150.0,145.89,149.42,902940,MCK,92
5/21/20,145.0,149.4,144.52,145.82,1598113,MCK,93
5/20/20,140.1,151.32,139.22,146.36,3224159,MCK,94
5/19/20,143.02,146.05,142.55,144.63,1877811,MCK,95
5/18/20,140.14,143.85,139.17,142.68,1731280,MCK,96
5/15/20,130.87,136.57,130.37,136.45,2173397,MCK,97
5/14/20,127.99,129.93,125.65,129.42,1908990,MCK,98
5/13/20,133.78,134.03,128.88,129.63,2064304,MCK,99
5/12/20,141.18,141.7,134.72,134.77,1627078,MCK,100
5/11/20,138.0,141.79,137.11,140.26,1571977,MCK,101
5/8/20,136.47,137.42,134.47,135.97,943099,MCK,102
5/7/20,133.44,136.04,133.02,134.58,1421375,MCK,103
5/6/20,134.51,135.16,131.35,131.86,1095971,MCK,104
5/5/20,137.48,138.22,132.94,133.55,1705053,MCK,105
5/4/20,134.0,136.23,132.81,135.68,908907,MCK,106
5/1/20,139.13,139.13,132.98,134.7,1071701,MCK,107
4/30/20,139.51,142.45,138.05,141.25,2536430,MCK,108
4/29/20,142.0,142.49,139.28,140.26,1252786,MCK,109
4/28/20,145.0,145.41,139.94,140.36,1966819,MCK,110
4/27/20,141.55,144.19,139.41,143.28,1264774,MCK,111
4/24/20,136.9,140.19,135.32,139.94,2660522,MCK,112
4/23/20,135.78,139.36,134.4,136.57,1023930,MCK,113
4/22/20,134.29,136.59,134.29,135.22,1395670,MCK,114
4/21/20,138.5,138.5,131.27,132.44,2193093,MCK,115
4/20/20,140.19,142.25,138.26,140.49,899143,MCK,116
4/17/20,141.47,141.76,137.41,141.61,1558328,MCK,117
4/16/20,136.68,139.63,135.12,138.11,2213050,MCK,118
4/15/20,136.95,139.24,133.4,137.98,2131788,MCK,119
4/14/20,136.14,137.77,133.08,137.66,2701684,MCK,120
4/13/20,132.95,133.97,129.16,131.02,1604191,MCK,121
4/9/20,132.16,135.84,130.61,133.32,1857020,MCK,122
4/8/20,131.35,134.21,128.81,131.56,2106535,MCK,123
4/7/20,140.0,141.57,131.54,132.08,1988205,MCK,124
4/6/20,131.12,135.88,128.13,135.2,2314270,MCK,125
4/3/20,128.01,129.99,123.24,125.49,2267966,MCK,126
4/2/20,128.88,130.76,121.15,129.2,2926026,MCK,127
4/1/20,130.46,134.57,129.15,133.06,1902636,MCK,128
3/31/20,133.27,138.63,132.33,135.26,3114415,MCK,129
3/30/20,127.24,139.64,127.22,138.02,2538451,MCK,130
3/27/20,126.13,128.64,122.96,125.7,9223005,MCK,131
3/26/20,123.3,132.03,121.38,131.66,2282412,MCK,132
3/25/20,126.21,130.13,120.12,121.24,2491371,MCK,133
3/24/20,122.36,126.9,118.65,126.31,3116531,MCK,134
3/23/20,123.23,123.94,113.71,115.75,2754148,MCK,135
3/20/20,127.88,131.49,119.51,124.97,2993848,MCK,136
3/19/20,132.78,139.99,126.32,127.4,3531633,MCK,137
3/18/20,131.56,147.11,124.8,135.9,5795962,MCK,138
3/17/20,124.5,140.06,120.0,139.47,6674711,MCK,139
3/16/20,119.39,129.99,112.6,121.28,9402610,MCK,140
3/13/20,131.71,132.96,124.02,132.57,9345274,MCK,141
3/12/20,128.71,132.0,120.52,124.03,10738730,MCK,142
3/11/20,134.14,139.87,133.38,135.17,9719648,MCK,143
3/10/20,134.57,138.07,129.01,138.0,17595439,MCK,144
3/9/20,132.27,137.31,121.31,131.97,25015660,MCK,145
3/6/20,140.0,145.21,137.11,141.49,22272510,MCK,146
3/5/20,149.48,151.2,141.12,145.12,16884301,MCK,147
3/4/20,153.07,153.62,149.17,152.26,18687131,MCK,148
3/3/20,150.56,154.79,145.77,147.8,18003119,MCK,149
3/2/20,141.57,150.49,139.25,150.41,11921070,MCK,150
2/28/20,143.37,146.86,137.94,139.86,9285792,MCK,151
2/27/20,156.0,157.1,147.66,147.71,5900114,MCK,152
2/26/20,161.84,163.14,157.71,158.98,5578119,MCK,153
2/25/20,167.2,167.37,160.19,160.85,5059267,MCK,154
2/24/20,167.03,169.26,165.29,165.56,6325827,MCK,155
2/21/20,169.75,172.18,168.48,170.96,3727315,MCK,156
2/20/20,168.2,171.22,167.0,170.78,3313565,MCK,157
2/19/20,167.92,168.35,166.17,168.01,4262367,MCK,158
2/18/20,168.38,169.03,166.76,167.63,5202281,MCK,159
2/14/20,167.09,168.5,164.25,168.03,6157610,MCK,160
2/13/20,166.27,169.67,166.02,167.91,5000487,MCK,161
2/12/20,165.21,168.38,164.04,168.02,3604422,MCK,162
2/11/20,162.34,165.41,160.75,164.65,3337061,MCK,163
2/10/20,161.61,164.84,159.78,162.14,6018464,MCK,164
2/7/20,160.15,161.93,155.77,156.32,1792267,MCK,165
2/6/20,154.78,159.1,154.49,158.32,2128310,MCK,166
2/5/20,150.01,156.12,149.73,152.15,1615339,MCK,167
2/4/20,148.01,152.8,147.75,149.25,2440390,MCK,168
2/3/20,143.03,146.83,142.84,143.9,1361631,MCK,169
1/31/20,146.87,147.12,141.91,142.61,1473900,MCK,170
1/30/20,148.5,149.6,144.74,147.2,1330575,MCK,171
1/29/20,152.32,152.87,149.27,149.34,1128983,MCK,172
1/28/20,151.11,153.56,150.81,152.12,699677,MCK,173
1/27/20,149.94,151.3,148.84,150.63,1200753,MCK,174
1/24/20,155.5,155.5,149.56,152.62,1135869,MCK,175
1/23/20,155.17,155.46,152.54,155.11,1137500,MCK,176
1/22/20,155.67,156.45,154.54,155.74,1681657,MCK,177
1/21/20,155.8,156.11,154.24,155.27,1267015,MCK,178
1/17/20,156.8,156.97,155.05,156.33,1687005,MCK,179
1/16/20,154.99,156.32,153.94,156.26,921467,MCK,180
1/15/20,150.68,155.93,150.34,154.03,1385778,MCK,181
1/14/20,148.49,151.33,147.96,150.67,2318645,MCK,182
1/13/20,143.53,144.97,142.38,143.65,937562,MCK,183
1/10/20,144.52,145.42,143.25,143.81,1157468,MCK,184
1/9/20,140.63,142.03,140.0,141.3,802881,MCK,185
1/8/20,138.0,140.74,137.35,140.56,845559,MCK,186
1/7/20,137.02,137.88,135.8,137.85,681113,MCK,187
1/6/20,136.04,138.17,135.22,138.16,1228556,MCK,188
1/3/20,136.53,137.63,135.57,136.72,746649,MCK,189
1/2/20,139.11,139.85,137.52,138.69,976465,MCK,190
12/31/19,136.7,138.4,136.3,138.32,626667,MCK,191
12/30/19,139.52,139.69,137.08,137.17,606915,MCK,192
12/27/19,139.34,139.92,137.86,139.44,570344,MCK,193
12/26/19,139.51,139.64,138.33,139.31,626722,MCK,194
12/24/19,137.24,138.86,137.06,138.81,320165,MCK,195
12/23/19,137.97,138.87,136.96,137.6,1022212,MCK,196
12/20/19,136.54,137.93,135.41,137.64,2440388,MCK,197
12/19/19,137.2,137.92,134.66,135.61,1541882,MCK,198
12/18/19,137.75,140.06,136.92,136.99,1652870,MCK,199
12/17/19,142.0,142.18,137.06,137.9,1662744,MCK,200
12/16/19,140.97,143.42,140.02,142.2,1096605,MCK,201
12/13/19,143.07,144.1,140.03,140.6,727803,MCK,202
12/12/19,143.45,144.98,142.56,143.93,773287,MCK,203
12/11/19,143.15,143.83,142.02,143.36,921437,MCK,204
12/10/19,142.67,142.94,140.68,142.75,797778,MCK,205
12/9/19,142.35,144.42,142.11,142.88,1172509,MCK,206
12/6/19,141.74,143.1,141.53,142.27,1449003,MCK,207
12/5/19,142.82,143.84,140.37,140.61,1730334,MCK,208
12/4/19,142.0,143.51,140.7,142.96,1364572,MCK,209
12/3/19,142.14,142.89,140.61,141.79,1634905,MCK,210
12/2/19,144.41,144.51,142.46,143.51,1141776,MCK,211
11/29/19,145.21,145.9,144.47,144.64,513087,MCK,212
11/27/19,145.16,146.76,144.05,146.29,1185873,MCK,213
11/26/19,152.83,153.1,145.17,145.8,2221333,MCK,214
11/25/19,152.88,153.77,151.74,153.27,1254041,MCK,215
11/22/19,152.85,154.79,151.48,152.61,1544296,MCK,216
11/21/19,150.61,152.81,149.8,152.26,1494370,MCK,217
11/20/19,149.72,152.06,149.13,150.7,1810189,MCK,218
11/19/19,149.75,151.28,149.37,150.25,1085582,MCK,219
11/18/19,148.34,149.92,148.0,149.59,1369730,MCK,220
11/15/19,144.48,148.83,144.27,148.32,1065030,MCK,221
11/14/19,145.7,146.74,144.06,144.65,1668958,MCK,222
11/13/19,143.82,147.21,142.68,145.7,1569344,MCK,223
11/12/19,141.46,145.96,141.1,144.83,2309624,MCK,224
11/11/19,138.95,140.39,137.81,140.34,1326101,MCK,225
11/8/19,136.77,140.35,136.41,140.2,941014,MCK,226
11/7/19,137.91,140.51,136.83,137.31,1153467,MCK,227
11/6/19,138.03,138.79,135.29,135.65,1207121,MCK,228
11/5/19,138.17,142.68,137.65,137.77,3069295,MCK,229
11/4/19,137.28,138.27,134.1,137.6,1332927,MCK,230
11/1/19,134.02,137.55,133.81,137.11,2381287,MCK,231
