Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,265.35,268.33,264.8,266.63,20009801,META,1
9/30/20,261.98,266.09,260.1,261.9,20142551,META,2
9/29/20,257.81,263.33,256.9,261.79,20215500,META,3
9/28/20,259.4,259.6,254.82,256.82,18826250,META,4
9/25/20,249.4,255.75,246.61,254.82,18351311,META,5
9/24/20,246.5,252.24,245.62,249.53,20006750,META,6
9/23/20,255.26,257.99,248.15,249.02,19641270,META,7
9/22/20,253.31,255.32,248.22,254.75,30293100,META,8
9/21/20,247.54,249.95,244.13,248.15,24709381,META,9
9/18/20,258.41,259.2,250.05,252.53,28130770,META,10
9/17/20,258.28,261.5,250.19,254.82,31281439,META,11
9/16/20,267.29,272.44,261.79,263.52,29207590,META,12
9/15/20,270.67,274.52,269.3,272.42,18478529,META,13
9/14/20,270.95,276.64,265.7,266.15,24093830,META,14
9/11/20,270.06,271.39,262.64,266.61,18913881,META,15
9/10/20,275.51,279.16,267.03,268.09,24814670,META,16
9/9/20,275.77,278.48,271.35,273.72,22918770,META,17
9/8/20,271.28,279.3,269.42,271.16,24864000,META,18
9/4/20,287.25,289.0,271.14,282.73,30333670,META,19
9/3/20,295.99,297.6,283.63,291.12,32294090,META,20
9/2/20,298.88,303.6,293.05,302.5,24341369,META,21
9/1/20,294.71,301.49,292.71,295.44,17320869,META,22
8/31/20,293.95,296.88,291.55,293.2,17345131,META,23
8/28/20,295.0,297.23,290.98,293.66,17172420,META,24
8/27/20,300.16,301.23,292.02,293.22,30301311,META,25
8/26/20,284.0,304.67,284.0,303.91,69015148,META,26
8/25/20,272.41,283.09,270.26,280.82,42127238,META,27
8/24/20,271.07,277.25,268.77,271.39,23685600,META,28
8/21/20,268.69,270.49,266.42,267.01,15538620,META,29
8/20/20,261.5,269.63,261.46,269.01,20299689,META,30
8/19/20,261.39,267.91,261.35,262.59,23291461,META,31
8/18/20,260.95,265.15,259.26,262.34,18690381,META,32
8/17/20,262.5,264.1,259.4,261.16,13351060,META,33
8/14/20,262.31,262.65,258.68,261.24,14792710,META,34
8/13/20,261.55,265.16,259.57,261.3,17373971,META,35
8/12/20,258.97,263.9,258.11,259.89,21428330,META,36
8/11/20,260.19,265.92,255.13,256.13,28238279,META,37
8/10/20,268.04,273.86,259.69,263.0,30248830,META,38
8/7/20,264.08,278.89,263.43,268.44,72766359,META,39
8/6/20,249.04,266.6,248.67,265.28,45241609,META,40
8/5/20,250.19,252.27,247.77,249.12,13088360,META,41
