Date,Open,High,Low,Close,Volume
10/1/20,75.62,75.77,73.87,74.22,8025113
9/30/20,74.79,75.75,74.57,75.41,11062670
9/29/20,75.16,75.6,74.28,74.46,6433703
9/28/20,75.64,76.1,75.06,75.24,5843200
9/25/20,74.69,75.68,74.37,75.4,6614914
9/24/20,74.64,75.9,74.41,75.6,7484953
9/23/20,75.54,76.21,75.08,75.12,6761636
9/22/20,75.55,75.98,74.73,75.41,7770238
9/21/20,77.21,77.59,74.63,75.58,9967055
9/18/20,77.8,78.46,77.22,78.02,11744660
9/17/20,77.62,77.98,76.78,77.86,7719928
9/16/20,76.82,78.27,76.82,77.8,9905007
9/15/20,77.03,77.43,76.05,76.56,10330790
9/14/20,76.55,77.37,76.12,76.51,8183210
9/11/20,76.22,77.17,76.17,76.81,6842757
9/10/20,77.03,77.17,75.71,75.98,6591165
9/9/20,76.16,78.02,76.06,77.17,8456456
9/8/20,78.13,78.13,75.46,75.76,8679014
9/4/20,77.78,79,76.6,77.5,8931420
9/3/20,79.72,79.82,77.22,77.72,12389020
9/2/20,76.81,79.29,76.62,79.03,11041570
9/1/20,77.6,78.01,76.3,76.76,6486619
8/31/20,77.82,78.12,77.41,77.52,7566416
8/28/20,78.08,78.08,77.2,77.87,5853145
8/27/20,77.69,78.33,77.35,78.02,6168751
8/26/20,77.56,77.9,76.97,77.77,7485169
8/25/20,78.11,78.45,77.46,77.9,9776744
8/24/20,77.46,77.71,76.81,77.66,7234978
8/21/20,77.37,77.44,76.48,77.26,6574964
8/20/20,77.1,77.56,76.72,77.31,6088218
8/19/20,76.88,77.92,76.88,77.31,6580198
8/18/20,77.18,77.29,76.16,76.88,6251773
8/17/20,76.62,77.44,76.38,77.06,8362948
8/14/20,75.81,76.76,75.61,75.9,7051978
8/13/20,74.67,76.03,74.56,75.95,7113849
8/12/20,73.98,75.38,73.95,75.17,6962679
8/11/20,74.32,74.43,73.31,73.56,7287065
8/10/20,73.65,73.83,73.01,73.56,5517577
8/7/20,73.45,73.66,72.76,73.66,6657998
8/6/20,74.06,74.91,73.26,73.69,6924188
8/5/20,74.61,74.98,73.78,74.22,6198438
8/4/20,75.05,75.05,73.71,74.25,6888062
8/3/20,74.69,76.19,74.42,75.04,10118570
7/31/20,73.54,74.26,71.96,72.95,11726440
7/30/20,71.58,72.08,70.58,71.81,6824952
7/29/20,72.05,72.5,71.59,72.14,6105298
7/28/20,72,72.92,71.8,72.45,8105844
7/27/20,69.47,71.95,69.38,71.76,10456550
7/24/20,70.78,70.91,69.42,70.1,8653360
7/23/20,71.96,72.01,70.47,70.97,11029500
7/22/20,72.11,72.51,70.93,71.62,11795940
