Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,48.75,49.07,46.9,47.26,25275381,MS,1
9/30/20,47.67,48.99,47.54,48.35,15047270,MS,2
9/29/20,48.07,48.26,47.19,47.24,11360590,MS,3
9/28/20,47.89,49.14,47.81,48.38,9466192,MS,4
9/25/20,46.28,47.33,45.92,47.04,9815974,MS,5
9/24/20,46.54,47.42,45.86,46.61,9832684,MS,6
9/23/20,47.86,48.24,46.39,46.42,8248128,MS,7
9/22/20,48.24,48.59,46.93,47.63,11164790,MS,8
9/21/20,48.86,49.09,47.51,48.36,12909930,MS,9
9/18/20,50.37,50.94,50.05,50.08,10743890,MS,10
9/17/20,50.39,50.93,49.98,50.25,7533674,MS,11
9/16/20,50.48,51.91,50.31,51.15,8699746,MS,12
9/15/20,51.16,51.34,50.27,50.39,7660121,MS,13
9/14/20,50.96,51.57,50.3,51.15,8812184,MS,14
9/11/20,50.36,50.95,50.06,50.35,8969704,MS,15
9/10/20,51.33,51.59,50.17,50.29,8609094,MS,16
9/9/20,50.59,51.63,50.43,51.06,8808475,MS,17
9/8/20,52.29,52.29,50.09,50.17,10946560,MS,18
9/4/20,53.44,53.76,51.76,52.71,9413215,MS,19
9/3/20,53.6,54.38,52.2,52.75,11029570,MS,20
9/2/20,52.61,53.47,52.47,53.25,7547103,MS,21
9/1/20,51.92,52.82,51.69,52.58,5568878,MS,22
8/31/20,52.89,52.89,52.25,52.26,8026556,MS,23
8/28/20,53.0,53.0,52.45,52.89,8743821,MS,24
8/27/20,51.76,52.87,51.68,52.61,8910127,MS,25
8/26/20,51.99,52.11,51.61,51.71,5920758,MS,26
8/25/20,52.81,52.89,51.85,52.05,8425547,MS,27
8/24/20,51.31,52.47,51.16,52.37,7728471,MS,28
8/21/20,50.59,51.42,50.5,51.1,6408525,MS,29
8/20/20,50.73,51.07,50.5,50.8,5186346,MS,30
8/19/20,51.19,52.03,51.14,51.37,5957612,MS,31
8/18/20,51.17,51.37,50.65,50.92,6449980,MS,32
8/17/20,52.2,52.3,51.09,51.28,7332966,MS,33
8/14/20,51.68,52.55,51.65,52.3,5782322,MS,34
8/13/20,51.93,52.46,51.71,52.18,5728684,MS,35
8/12/20,52.63,53.42,51.91,52.38,8950091,MS,36
8/11/20,51.64,52.87,51.57,51.78,11792640,MS,37
8/10/20,50.5,50.83,50.26,50.58,6518312,MS,38
8/7/20,49.21,50.47,49.08,50.35,6225854,MS,39
8/6/20,49.83,49.98,49.24,49.45,5701120,MS,40
8/5/20,49.59,49.96,49.44,49.77,6701327,MS,41
8/4/20,49.5,49.77,49.08,49.26,6351292,MS,42
8/3/20,49.22,49.91,48.72,49.46,9913058,MS,43
7/31/20,49.02,49.03,48.27,48.88,9664610,MS,44
7/30/20,49.36,49.36,48.55,48.95,9410093,MS,45
7/29/20,50.27,50.66,49.88,50.59,8074269,MS,46
7/28/20,50.83,51.22,50.21,50.26,7287935,MS,47
7/27/20,49.91,51.57,49.73,51.32,12087060,MS,48
7/24/20,50.56,50.8,50.07,50.18,6860824,MS,49
7/23/20,50.99,51.25,50.31,50.56,13526980,MS,50
7/22/20,52.0,52.35,50.99,51.0,13604000,MS,51
7/21/20,52.1,52.45,51.52,52.38,11956470,MS,52
7/20/20,51.76,52.07,51.35,51.86,10423560,MS,53
7/17/20,52.78,53.01,51.98,52.41,16274880,MS,54
7/16/20,51.58,53.51,51.34,52.64,25026770,MS,55
7/15/20,52.49,52.49,50.46,51.35,17424160,MS,56
7/14/20,50.27,50.58,48.91,50.5,16075620,MS,57
7/13/20,51.03,51.03,49.88,50.22,14903990,MS,58
7/10/20,47.59,49.88,47.52,49.8,13386040,MS,59
7/9/20,48.8,49.05,47.02,47.51,9119909,MS,60
7/8/20,47.63,48.99,47.28,48.91,12322190,MS,61
7/7/20,48.52,48.55,47.39,47.49,8750686,MS,62
7/6/20,48.87,49.37,48.7,48.82,10649570,MS,63
7/2/20,48.86,49.03,47.68,47.79,7488814,MS,64
7/1/20,48.41,49.08,47.25,47.61,11363840,MS,65
6/30/20,47.06,48.53,47.06,48.3,11894390,MS,66
6/29/20,47.57,47.8,46.65,47.24,9380766,MS,67
6/26/20,48.3,48.37,46.61,47.05,20082529,MS,68
6/25/20,46.71,48.86,46.54,48.79,15014350,MS,69
6/24/20,47.59,47.65,46.42,46.95,12806220,MS,70
6/23/20,48.27,48.48,47.61,47.89,9672599,MS,71
6/22/20,46.8,47.61,46.55,47.38,11657350,MS,72
6/19/20,48.46,48.68,46.71,46.93,20962699,MS,73
6/18/20,47.12,48.38,46.97,47.58,9825246,MS,74
6/17/20,48.7,48.78,47.66,47.76,8674443,MS,75
6/16/20,49.44,49.6,46.91,48.56,13554810,MS,76
6/15/20,44.66,47.85,44.6,47.4,14761440,MS,77
6/12/20,46.76,46.95,45.12,46.28,14093080,MS,78
6/11/20,46.13,47.2,44.44,44.57,17961920,MS,79
6/10/20,50.03,50.5,48.61,48.69,14770860,MS,80
6/9/20,48.72,50.69,48.57,50.4,15090450,MS,81
6/8/20,50.52,50.68,49.38,50.15,12150270,MS,82
6/5/20,51.3,51.85,49.24,49.53,17976070,MS,83
6/4/20,46.71,48.75,46.69,48.69,15279620,MS,84
6/3/20,46.98,47.49,46.44,46.91,11253470,MS,85
6/2/20,45.18,46.26,44.88,45.58,11179210,MS,86
6/1/20,44.52,45.07,43.95,44.7,8651542,MS,87
5/29/20,44.01,44.79,43.52,44.2,13102220,MS,88
5/28/20,47.25,47.32,44.28,44.4,17617301,MS,89
5/27/20,45.78,46.92,45.31,46.86,25892350,MS,90
5/26/20,41.87,43.79,41.55,43.69,19709850,MS,91
