Date,Open,High,Low,Close,Volume
10/1/20,112.23,116.58,111.13,116.21,2833784
9/30/20,108.43,111.79,108.43,110.65,2413730
9/29/20,108.22,109.38,106.63,109.12,3238950
9/28/20,107.15,109.84,106.78,108.59,2435313
9/25/20,103.58,107.52,102.77,105.75,1851662
9/24/20,101.02,105.13,100.61,103.43,1661624
9/23/20,106.94,107.26,102.41,102.89,2350274
9/22/20,108.38,108.79,105.46,106.51,2665728
9/21/20,106.08,107.25,104.21,106.85,2832424
9/18/20,107.74,109.77,105.36,108.41,6138443
9/17/20,107.95,108.46,105.65,107.56,2669035
9/16/20,110.75,111.4,107.79,108.3,4088574
9/15/20,109.95,111.66,108.71,110.98,2459953
9/14/20,105.74,109.27,105.74,108.26,3473949
9/11/20,106.86,106.86,101.65,103.65,2302418
9/10/20,106.29,108.37,104.17,105.46,2005407
9/9/20,104.49,106.67,102.13,105.56,2711251
9/8/20,102.01,105.55,100.25,102.06,3918381
9/4/20,108.51,110.95,102.08,105.94,3004026
9/3/20,114.23,114.82,108.81,110.54,2414849
9/2/20,114.7,117.62,112.88,117.49,3026666
9/1/20,110.87,115.25,110.87,113.41,2799925
8/31/20,111.49,112.25,110.44,111.68,2619506
8/28/20,112.18,113.56,109.87,111.5,1343364
8/27/20,112.45,113.27,111.34,111.53,2006112
8/26/20,113.2,114.08,110.95,112.53,1651850
8/25/20,110.78,112.52,109.56,112.28,1808425
8/24/20,113.64,114.96,111.01,111.9,1650501
8/21/20,113.54,114.7,112.41,112.55,2096436
8/20/20,113.99,115.53,112.16,113.08,1695367
8/19/20,114.82,118.47,113.94,114.15,4237690
8/18/20,114.54,116.46,114.1,115.21,4318466
8/17/20,118.8,119.79,113.56,114.11,4508357
8/14/20,118,121.44,117.65,118.8,2220067
8/13/20,118.25,118.25,116.69,117.44,2065430
8/12/20,115.85,118,115.42,115.92,2197740
8/11/20,115.38,118.39,114.87,115.5,2575340
8/10/20,117.01,119.49,112.69,115.65,4572384
8/7/20,114.44,116.25,113.03,115.88,2267025
8/6/20,117.73,118.01,113.88,113.97,4489624
8/5/20,119,123,115.31,120.71,6658063
8/4/20,110.2,110.47,105.99,107.57,3174821
8/3/20,103.78,110.86,103.07,110.41,4925314
7/31/20,103.63,103.97,101.55,102.7,3006743
7/30/20,101.99,104.33,100.58,102.35,3173454
7/29/20,100,103.5,99,102.79,4459406
7/28/20,91.51,101.9,91.51,98.44,7953501
7/27/20,91.69,93.78,91,91.77,4018057
7/24/20,89.99,91.8,87.56,90.36,2607364
7/23/20,93.01,94.44,90.59,91.15,1632949
7/22/20,94,96.02,92.92,93.37,2725528
7/21/20,98.41,98.41,92.62,93.93,3217818
7/20/20,91.71,98.98,91.46,97.17,6021921
7/17/20,95.1,95.87,90.95,91.75,4195243
7/16/20,95.54,95.81,93.5,94.46,2535619
7/15/20,98.35,99,95.75,96.43,2854044
7/14/20,95.38,99.18,94.4,97.93,6046795
7/13/20,100.72,101.47,96.24,96.92,4708356
7/10/20,96.87,102.15,96.4,100.39,4693986
7/9/20,95,97.9,94.5,96.32,4778062
7/8/20,92,95.87,91.51,94.2,4442302
7/7/20,93.34,94.76,91.56,92,8123403
7/6/20,100,100.53,93.24,94.78,13035120
7/2/20,105.1,108.45,96.12,98.92,7160833
7/1/20,106,107.43,94.01,105.67,12164770
