Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,158.41,160.89,158.1,158.6,3866185,TGT,1
9/30/20,157.45,159.15,156.5,157.42,2806214,TGT,2
9/29/20,156.75,158.43,155.87,156.94,2784544,TGT,3
9/28/20,154.95,157.71,154.65,156.46,3627625,TGT,4
9/25/20,151.86,155.16,151.75,154.35,2743326,TGT,5
9/24/20,151.62,153.56,150.1,152.0,3223323,TGT,6
9/23/20,153.88,155.2,150.37,151.01,2801280,TGT,7
9/22/20,151.15,154.44,150.93,154.08,4334508,TGT,8
9/21/20,148.69,149.99,146.45,149.86,3359988,TGT,9
9/18/20,147.72,149.52,147.26,148.82,3615103,TGT,10
9/17/20,147.39,148.77,146.55,147.61,2391561,TGT,11
9/16/20,149.34,149.73,147.91,147.99,2072672,TGT,12
9/15/20,148.11,149.84,147.36,149.07,2206430,TGT,13
9/14/20,148.55,150.39,147.84,148.44,2707154,TGT,14
9/11/20,146.86,147.96,146.18,147.65,2356353,TGT,15
9/10/20,147.6,148.34,145.31,146.04,2828143,TGT,16
9/9/20,144.76,148.6,144.76,147.55,3279515,TGT,17
9/8/20,146.68,146.79,143.38,144.0,3503165,TGT,18
9/4/20,146.69,148.55,143.69,147.23,4742073,TGT,19
9/3/20,149.47,149.98,145.41,146.03,4135321,TGT,20
9/2/20,150.5,150.87,148.42,149.84,4128168,TGT,21
9/1/20,150.61,151.77,150.12,150.55,3604066,TGT,22
8/31/20,151.14,151.91,150.32,151.21,3025559,TGT,23
8/28/20,150.31,151.67,149.6,150.85,2835579,TGT,24
8/27/20,152.66,152.75,149.67,150.31,3773148,TGT,25
8/26/20,152.75,153.57,152.09,152.71,3061602,TGT,26
8/25/20,154.15,154.28,152.36,152.85,2984390,TGT,27
8/24/20,154.5,154.62,152.63,153.24,4355250,TGT,28
8/21/20,152.33,155.61,152.13,153.63,7061409,TGT,29
8/20/20,154.93,156.1,151.72,152.24,12045970,TGT,30
8/19/20,148.5,154.69,146.54,154.22,40211848,TGT,31
8/18/20,137.01,137.97,134.67,136.9,5756832,TGT,32
8/17/20,137.98,138.69,137.4,138.24,4632287,TGT,33
8/14/20,135.92,137.0,135.22,136.53,3180944,TGT,34
8/13/20,133.99,134.94,133.61,134.81,2324776,TGT,35
8/12/20,135.11,135.11,132.77,134.6,4863281,TGT,36
8/11/20,133.71,134.59,131.36,131.72,3915884,TGT,37
8/10/20,132.07,134.11,131.25,132.94,3002886,TGT,38
8/7/20,129.24,131.88,129.0,131.75,2303110,TGT,39
8/6/20,129.5,129.93,128.13,129.01,1979947,TGT,40
8/5/20,130.75,131.93,128.66,129.37,3692285,TGT,41
8/4/20,127.93,130.77,127.58,130.45,3924491,TGT,42
