Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,312.91,315.17,309.15,313.07,2731236,UNH,1
9/30/20,304.02,314.52,303.99,311.77,3497316,UNH,2
9/29/20,303.67,305.5,300.68,304.15,1797818,UNH,3
9/28/20,306.39,310.01,302.83,303.23,2575710,UNH,4
9/25/20,291.25,303.27,291.22,302.5,2455819,UNH,5
9/24/20,292.19,294.93,289.64,292.66,2869110,UNH,6
9/23/20,295.0,296.1,291.83,292.14,3710122,UNH,7
9/22/20,298.44,300.62,292.92,294.26,3163604,UNH,8
9/21/20,300.47,300.53,291.66,299.19,4124741,UNH,9
9/18/20,305.01,310.39,303.77,308.02,3795806,UNH,10
9/17/20,304.5,307.38,302.11,304.98,2394205,UNH,11
9/16/20,309.07,312.25,306.2,306.52,3438228,UNH,12
9/15/20,310.05,311.46,306.05,307.23,1468486,UNH,13
9/14/20,303.01,311.12,303.01,308.57,1795515,UNH,14
9/11/20,305.07,306.46,297.29,301.48,3086088,UNH,15
9/10/20,312.73,314.44,303.72,304.6,2421619,UNH,16
9/9/20,309.68,315.32,308.42,312.02,2195680,UNH,17
9/8/20,311.03,311.46,303.83,307.25,2594530,UNH,18
9/4/20,316.48,317.83,306.63,312.0,2901147,UNH,19
9/3/20,322.0,323.82,313.73,316.23,3872533,UNH,20
9/2/20,312.56,321.28,312.56,320.24,2846460,UNH,21
9/1/20,310.16,314.72,310.0,312.83,2487188,UNH,22
8/31/20,314.89,319.56,312.54,312.55,4341556,UNH,23
8/28/20,312.34,315.82,308.97,314.37,2883586,UNH,24
8/27/20,310.41,314.78,305.49,311.67,2321100,UNH,25
8/26/20,310.98,311.36,303.61,308.82,3178972,UNH,26
8/25/20,312.2,312.36,307.8,312.22,1879520,UNH,27
8/24/20,316.81,316.9,306.49,308.84,2922446,UNH,28
8/21/20,311.28,315.28,310.09,314.14,2488477,UNH,29
8/20/20,314.83,315.28,312.01,313.33,2245791,UNH,30
8/19/20,316.77,319.49,315.18,315.4,2066691,UNH,31
8/18/20,321.98,322.67,315.71,316.81,2520285,UNH,32
8/17/20,321.45,323.8,319.35,320.51,2772468,UNH,33
8/14/20,320.54,323.93,318.73,323.7,1787375,UNH,34
8/13/20,320.68,321.87,317.84,321.52,2159587,UNH,35
8/12/20,318.0,323.29,317.64,322.27,2916495,UNH,36
8/11/20,322.92,324.57,314.66,315.55,3018248,UNH,37
8/10/20,317.0,320.47,315.58,319.1,2563849,UNH,38
8/7/20,313.34,319.0,313.34,317.03,2600751,UNH,39
8/6/20,312.0,316.24,310.4,314.06,3305601,UNH,40
8/5/20,306.83,312.96,305.02,312.47,3014732,UNH,41
8/4/20,301.91,308.86,300.07,304.5,3595182,UNH,42
8/3/20,303.59,304.91,299.2,303.61,2628889,UNH,43
7/31/20,303.44,303.74,298.05,302.78,3913650,UNH,44
7/30/20,301.68,306.46,298.89,305.23,2205343,UNH,45
7/29/20,301.46,309.75,300.0,306.68,2672724,UNH,46
7/28/20,297.89,301.4,297.21,299.93,2257492,UNH,47
7/27/20,298.43,302.13,297.37,298.6,2060506,UNH,48
7/24/20,303.33,304.28,299.23,300.79,2415759,UNH,49
7/23/20,308.2,308.5,301.27,302.97,2367675,UNH,50
7/22/20,304.86,306.91,301.81,306.71,1935771,UNH,51
7/21/20,305.03,307.0,303.11,305.11,2341560,UNH,52
7/20/20,306.79,308.6,302.38,303.46,2375525,UNH,53
7/17/20,309.09,310.97,306.25,306.53,3016846,UNH,54
7/16/20,305.01,310.85,303.16,307.15,3844474,UNH,55
7/15/20,301.12,310.69,298.66,304.07,5116869,UNH,56
7/14/20,297.81,309.74,296.71,308.52,4234881,UNH,57
7/13/20,292.09,304.52,291.77,299.71,4263348,UNH,58
7/10/20,294.24,294.24,287.1,291.23,2391717,UNH,59
