Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,23.57,23.81,23.16,23.56,38879809,WFC,1
9/30/20,23.36,23.87,23.25,23.51,43071539,WFC,2
9/29/20,23.72,23.72,23.07,23.26,38448039,WFC,3
9/28/20,23.99,24.27,23.76,23.82,41103527,WFC,4
9/25/20,23.12,23.71,23.01,23.64,30229939,WFC,5
9/24/20,22.96,23.72,22.56,23.32,43329113,WFC,6
9/23/20,23.78,24.13,22.83,22.83,45697672,WFC,7
9/22/20,23.98,24.36,23.53,23.65,39839449,WFC,8
9/21/20,24.45,24.52,23.72,24.04,56188352,WFC,9
9/18/20,24.94,25.4,24.9,25.13,115153203,WFC,10
9/17/20,25.23,25.43,24.9,25.11,51531352,WFC,11
9/16/20,24.87,26.0,24.75,25.71,51783219,WFC,12
9/15/20,24.96,25.04,24.56,24.88,41954781,WFC,13
9/14/20,24.38,24.97,24.23,24.81,49787141,WFC,14
9/11/20,23.92,24.32,23.71,24.27,34861090,WFC,15
9/10/20,24.03,24.67,23.86,23.95,54211680,WFC,16
9/9/20,24.01,24.07,23.7,23.84,49427910,WFC,17
9/8/20,24.28,24.55,23.74,23.97,49082910,WFC,18
9/4/20,25.0,25.19,24.25,24.79,48745000,WFC,19
9/3/20,24.8,25.36,24.3,24.52,42349262,WFC,20
9/2/20,24.01,24.66,23.93,24.57,40334000,WFC,21
9/1/20,24.02,24.34,23.74,24.05,30541869,WFC,22
8/31/20,24.49,24.51,24.09,24.15,27615500,WFC,23
8/28/20,24.75,24.77,24.35,24.69,25797330,WFC,24
8/27/20,23.99,24.78,23.97,24.59,36706594,WFC,25
8/26/20,24.51,24.58,24.04,24.04,28348211,WFC,26
8/25/20,24.74,24.89,24.3,24.61,35077312,WFC,27
8/24/20,23.8,24.51,23.61,24.49,36906688,WFC,28
8/21/20,23.64,23.91,23.52,23.64,27198000,WFC,29
8/20/20,23.74,23.94,23.6,23.75,36022141,WFC,30
8/19/20,24.01,24.39,23.84,24.07,33667840,WFC,31
8/18/20,24.42,24.45,24.01,24.04,29680689,WFC,32
8/17/20,25.03,25.14,24.44,24.47,36661699,WFC,33
8/14/20,24.79,25.49,24.64,25.3,26743369,WFC,34
8/13/20,24.95,25.23,24.68,25.02,27387850,WFC,35
8/12/20,25.98,26.14,24.72,25.19,42898641,WFC,36
8/11/20,25.29,26.14,25.2,25.32,55000141,WFC,37
8/10/20,25.22,25.48,24.22,24.7,50602641,WFC,38
8/7/20,24.13,25.22,24.0,25.07,46272398,WFC,39
8/6/20,24.2,24.5,24.12,24.24,44670289,WFC,40
8/5/20,24.4,24.75,24.34,24.4,33157289,WFC,41
8/4/20,24.2,24.29,24.03,24.22,28106900,WFC,42
8/3/20,24.25,24.5,23.9,24.29,27863660,WFC,43
7/31/20,24.5,24.66,24.08,24.26,45570809,WFC,44
7/30/20,25.19,25.24,24.5,24.65,51019207,WFC,45
7/29/20,25.45,25.82,25.0,25.78,31442061,WFC,46
7/28/20,25.33,25.7,25.33,25.53,30505211,WFC,47
7/27/20,26.02,26.02,25.25,25.49,34761047,WFC,48
7/24/20,26.47,26.85,26.2,26.26,39357031,WFC,49
7/23/20,26.16,26.51,25.7,26.35,50790953,WFC,50
7/22/20,26.13,26.35,25.82,26.26,41030488,WFC,51
