Date,Open,High,Low,Close,Volume
10/1/20,91.8,94.29,91,93.76,1424797
9/30/20,89.76,91.4,89.25,90.44,1458877
9/29/20,88.94,90.39,88.01,89.25,713863
9/28/20,87.85,88.84,87.65,88.36,681111
9/25/20,86.3,87.14,85.3,86.86,931714
9/24/20,87.7,88.79,86.41,86.75,1219143
9/23/20,88.13,89.35,87.75,88.4,1390418
9/22/20,86.4,88.1,85.97,87.88,721788
9/21/20,85.41,86.18,84.25,86.11,1045118
9/18/20,89.75,90.05,86.15,87.17,1430205
9/17/20,90.31,91.57,89.37,89.62,828396
9/16/20,93.56,94.37,91.43,91.47,1020864
9/15/20,94.26,94.4,92.36,93.04,775268
9/14/20,92.83,93.64,91.13,93.42,1620737
9/11/20,91.56,92.88,89.9,91.42,1132463
9/10/20,92.3,96.21,90.16,90.7,2024623
9/9/20,87.28,90.13,86.38,89.87,1325477
9/8/20,83.39,87.46,82.5,86.38,1346006
9/4/20,86.01,86.36,81.77,84.56,895844
9/3/20,87.76,88.16,85.31,85.71,1242378
9/2/20,88.35,88.85,86.01,88.33,1042038
9/1/20,88.11,89.01,87.44,88.06,1304907
8/31/20,89.61,89.79,87.19,87.76,1939105
8/28/20,92.22,93.55,89.23,89.56,1666051
8/27/20,92.37,94.35,90.32,91.13,3810746
8/26/20,96.5,99.4,95.31,98.96,3337338
8/25/20,99.67,100,94.43,95.36,1823989
8/24/20,100.4,101.73,98.2,99.26,1115099
8/21/20,98.15,99.49,95.88,99.1,1219777
8/20/20,94.97,95.67,94.39,95.27,599307
8/19/20,96.59,97,94.85,95.8,1018177
8/18/20,97.75,98.18,95.83,96.51,767690
8/17/20,95.68,97.5,95,97.48,849865
8/14/20,93.98,95.81,93.29,94.58,1102647
8/13/20,93.07,94.6,92.9,93.71,535846
8/12/20,94.1,94.5,92.2,93.7,675162
8/11/20,94.75,94.88,92.07,92.94,939260
8/10/20,93.68,94.6,92.1,93.84,728603
8/7/20,89.46,93.34,89.02,93.17,1544912
8/6/20,89.18,90,88.11,89.74,705002
8/5/20,88.2,89.1,87.12,88.67,790249
8/4/20,86.44,87.96,84.94,87.89,838028
8/3/20,87.5,91.04,86.95,86.96,1546028
7/31/20,88.01,88.32,85.41,87.12,935713
7/30/20,85.07,87.85,84.79,87.65,1523844
7/29/20,84.04,86.17,83.65,85.6,909718
7/28/20,86.53,86.68,83.38,83.5,699585
7/27/20,85.06,86.61,84.25,86.59,660719
7/24/20,84.44,85.4,83.67,84.91,738524
7/23/20,85.85,88.31,84.57,85.31,1431555
7/22/20,82.54,87.34,82.52,86.78,1503501
7/21/20,82,83.54,81.52,82.53,729196
7/20/20,83.73,83.73,80.99,81.54,931138
7/17/20,85.08,85.12,83.06,83.8,783855
7/16/20,84.2,85.12,83.74,84.38,785025
7/15/20,85.3,85.31,83.43,84.85,800164
7/14/20,82.41,83.41,81.14,83.32,1017132
7/13/20,85.43,86.39,82.88,82.91,978917
7/10/20,85.02,85.64,83.94,85.02,654560
7/9/20,86,86.44,83.36,84.63,1108907
